catalog_id,name,aliases,kinds,confidence,gnu_libiconv_1_19,iconvex,coverage_status,implementation_disposition,wikipedia_source_ids,wikipedia_urls,all_source_ids,all_source_urls,statuses
ENC-0002,ABC 800,ABC800-CHARACTER-MODE | LUXOR-ABC800-BASIC-II-1981-CHARACTER-MODE,source_qualified_seven_bit_character_encoding | wikipedia_character_set_page,high,no,yes,implemented,implemented,wikipedia:pageid 584429,https://en.wikipedia.org/wiki/ABC_800,wikipedia:pageid 584429 | supplement:ABC 800,https://en.wikipedia.org/wiki/ABC_800 | https://www.abc80.net/archive/luxor/ABC80x/ABC800-manual-BASIC-II.pdf,primary_vendor_manual_exact_mapping
ENC-0003,ABICOMP character set,ABICOMP | BRAZIL-ABICOMP | CODE-PAGE-3848 | CP3848 | FREEDOS-CP3848,single_byte_character_encoding | wikidata_characterencoding | wikipedia_character_set_page,high,no,yes,implemented,implemented,wikipedia:pageid 51976001,https://en.wikipedia.org/wiki/ABICOMP_character_set,wikidata:Q28454173 | wikipedia:pageid 51976001 | supplement:ABICOMP character set,https://www.wikidata.org/wiki/Q28454173 | https://en.wikipedia.org/wiki/ABICOMP_character_set | https://archive.org/download/manuallib-id-2525457/2525457.pdf,primary_source_exact_mapping
ENC-0010,ALCOR,,wikipedia_character_set_page,candidate,no,no,remaining,research_candidate,wikipedia:pageid 4862582,https://en.wikipedia.org/wiki/ALCOR,wikipedia:pageid 4862582,https://en.wikipedia.org/wiki/ALCOR,
ENC-0014,American National Standard Extended Latin Alphabet Coded Character Set for Bibliographic Use (ANSEL),American National Standard for Extended Latin Alphabet Coded Character Set for Bibliographic Use | ANSEL | ANSI/NISO Z39.47 | ISO-IR-231,bibliographic_character_set | iso_ir_coded_character_set | wikidata_codedcharacterset | wikipedia_character_set_page,high,no,yes,implemented,implemented,wikipedia:pageid 410443,https://en.wikipedia.org/wiki/ANSEL,iso_ir:ISO-IR-231 | wikidata:Q2819298 | wikipedia:pageid 410443 | supplement:ANSEL,https://itscj.ipsj.or.jp/ir/231.pdf | https://www.wikidata.org/wiki/Q2819298 | https://en.wikipedia.org/wiki/ANSEL | https://www.loc.gov/marc/specifications/codetables/ExtendedLatin.html,official_specification | registered_historical
ENC-0016,Amstrad CP/M Plus character set,,wikipedia_character_set_page,candidate,no,yes,implemented,implemented,wikipedia:pageid 54335453,https://en.wikipedia.org/wiki/Amstrad_CP/M_Plus_character_set,wikipedia:pageid 54335453,https://en.wikipedia.org/wiki/Amstrad_CP/M_Plus_character_set,
ENC-0017,Amstrad CPC character set,,wikipedia_character_set_page,candidate,no,yes,implemented,implemented,wikipedia:pageid 63377119,https://en.wikipedia.org/wiki/Amstrad_CPC_character_set,wikipedia:pageid 63377119,https://en.wikipedia.org/wiki/Amstrad_CPC_character_set,
ENC-0023,Apple I character set,,wikipedia_character_set_page,candidate,no,no,remaining,research_candidate,wikipedia:pageid 61693236,https://en.wikipedia.org/wiki/Apple_I_character_set,wikipedia:pageid 61693236,https://en.wikipedia.org/wiki/Apple_I_character_set,
ENC-0024,Apple II character set,,wikidata_characterencoding | wikipedia_character_set_page,medium,no,yes,implemented,implemented,wikipedia:pageid 54566027,https://en.wikipedia.org/wiki/Apple_II_character_set,wikidata:Q39087662 | wikipedia:pageid 54566027,https://www.wikidata.org/wiki/Q39087662 | https://en.wikipedia.org/wiki/Apple_II_character_set,
ENC-0027,ARIB STD B24 character set,,wikidata_characterencoding | wikipedia_character_set_page,medium,no,no,remaining,codec_gap,wikipedia:pageid 54428551,https://en.wikipedia.org/wiki/ARIB_STD_B24_character_set,wikidata:Q39087152 | wikipedia:pageid 54428551,https://www.wikidata.org/wiki/Q39087152 | https://en.wikipedia.org/wiki/ARIB_STD_B24_character_set,
ENC-0028,ArmSCII,,wikipedia_character_set_page,candidate,no,no,remaining,encoding_family,wikipedia:pageid 932710,https://en.wikipedia.org/wiki/ArmSCII,wikipedia:pageid 932710,https://en.wikipedia.org/wiki/ArmSCII,
ENC-0030,ASMO_449,arabic7 | ASMO 449 | csISO89ASMO449 | iso-ir-89 | ISO_9036,glibc_gconv_codec | iana_registered_charset | rfc1345_charset | wikidata_codepage | wikipedia_character_set_page,high,no,yes,implemented,implemented,wikipedia:pageid 5546531,https://en.wikipedia.org/wiki/ASMO_449,iana:MIBenum 65 | glibc:ASMO_449 | rfc1345:ASMO_449 | wikidata:Q11189653 | wikipedia:pageid 5546531,https://www.iana.org/assignments/character-sets/character-sets.xhtml | https://sourceware.org/glibc/manual/latest/html_node/Generic-Charset-Conversion.html | https://www.rfc-editor.org/rfc/rfc1345.html | https://www.wikidata.org/wiki/Q11189653 | https://en.wikipedia.org/wiki/ASMO_449,glibc_current_source | historical_registry
ENC-0031,Atari ST character set,,wikidata_characterencoding | wikipedia_character_set_page,medium,no,yes,implemented,implemented,wikipedia:pageid 49729654,https://en.wikipedia.org/wiki/Atari_ST_character_set,wikidata:Q15784268 | wikipedia:pageid 49729654,https://www.wikidata.org/wiki/Q15784268 | https://en.wikipedia.org/wiki/Atari_ST_character_set,
ENC-0033,ATASCII,ATARI ASCII,legacy_computer_encoding | wikipedia_character_set_page,medium,no,yes,implemented,implemented,wikipedia:pageid 560142,https://en.wikipedia.org/wiki/ATASCII,wikipedia:pageid 560142 | supplement:ATASCII,https://en.wikipedia.org/wiki/ATASCII,historical
ENC-0035,Bangladesh Standard Code for Information Interchange,,wikipedia_character_set_page,candidate,no,no,remaining,research_candidate,wikipedia:pageid 76409395,https://en.wikipedia.org/wiki/Bangladesh_Standard_Code_for_Information_Interchange,wikipedia:pageid 76409395,https://en.wikipedia.org/wiki/Bangladesh_Standard_Code_for_Information_Interchange,
ENC-0041,Baudot code,,telegraph_code | wikipedia_character_set_page,medium,no,yes,implemented,implemented,wikipedia:pageid 4748,https://en.wikipedia.org/wiki/Baudot_code,wikipedia:pageid 4748 | supplement:Baudot code,https://en.wikipedia.org/wiki/Baudot_code,historical
ENC-0043,BCD (character encoding),BCD,wikipedia_character_set_page,candidate,no,no,remaining,research_candidate,wikipedia:pageid 29603924,https://en.wikipedia.org/wiki/BCD_%28character_encoding%29,wikipedia:pageid 29603924,https://en.wikipedia.org/wiki/BCD_%28character_encoding%29,
ENC-0066,Big5hk,,wikipedia_character_set_page,candidate,no,yes,implemented,implemented,wikipedia:pageid 52504591,https://en.wikipedia.org/wiki/Big5hk,wikipedia:pageid 52504591,https://en.wikipedia.org/wiki/Big5hk,
ENC-0067,Bitstream International Character Set,,wikidata_characterencoding | wikipedia_character_set_page,medium,no,no,remaining,codec_gap,wikipedia:pageid 54274255,https://en.wikipedia.org/wiki/Bitstream_International_Character_Set,wikidata:Q30694105 | wikipedia:pageid 54274255,https://www.wikidata.org/wiki/Q30694105 | https://en.wikipedia.org/wiki/Bitstream_International_Character_Set,
ENC-0069,BOCU-1,Binary Ordered Compression for Unicode | csBOCU-1 | csBOCU1 | ibm-1214 | ibm-1215,iana_registered_charset | icu_converter | wikipedia_character_set_page,high,no,yes,implemented,implemented,wikipedia:pageid 1552730 | wikipedia:pageid 2461738,https://en.wikipedia.org/wiki/Binary_Ordered_Compression_for_Unicode | https://en.wikipedia.org/wiki/BOCU-1,iana:MIBenum 1020 | icu:BOCU-1 | wikipedia:pageid 1552730 | wikipedia:pageid 2461738,https://www.iana.org/assignments/character-sets/character-sets.xhtml | https://raw.githubusercontent.com/unicode-org/icu/main/icu4c/source/data/mappings/convrtrs.txt | https://en.wikipedia.org/wiki/Binary_Ordered_Compression_for_Unicode | https://en.wikipedia.org/wiki/BOCU-1,
ENC-0071,Box-drawing characters,,wikipedia_character_set_page,candidate,no,no,remaining,research_candidate,wikipedia:pageid 1295471,https://en.wikipedia.org/wiki/Box-drawing_characters,wikipedia:pageid 1295471,https://en.wikipedia.org/wiki/Box-drawing_characters,
ENC-0072,Braille,,wikipedia_character_set_page,candidate,no,no,remaining,research_candidate,wikipedia:pageid 3933,https://en.wikipedia.org/wiki/Braille,wikipedia:pageid 3933,https://en.wikipedia.org/wiki/Braille,
ENC-0075,BraSCII,ABNT | ABNT-BRASCII | BRA-SCII | BRAZIL-ABNT | BRAZIL-ABNT-3847 | CODE-PAGE-3847 | CP3847 | NBR-9611 | NBR-9611:1991 | NBR-9614 | NBR-9614:1986,single_byte_character_encoding | wikidata_characterencoding | wikipedia_character_set_page,high,no,yes,implemented,implemented,wikipedia:pageid 53292599,https://en.wikipedia.org/wiki/BraSCII,wikidata:Q9642584 | wikipedia:pageid 53292599 | supplement:BraSCII,https://www.wikidata.org/wiki/Q9642584 | https://en.wikipedia.org/wiki/BraSCII | https://files.support.epson.com/pdf/sc200_/sc200_u1.pdf,primary_source_exact_mapping
ENC-0080,BSCII,,wikipedia_character_set_page,candidate,no,no,remaining,research_candidate,wikipedia:pageid 76409398,https://en.wikipedia.org/wiki/BSCII,wikipedia:pageid 76409398,https://en.wikipedia.org/wiki/BSCII,
ENC-0084,Caret notation,,wikipedia_character_set_page,candidate,no,no,remaining,research_candidate,wikipedia:pageid 2265038,https://en.wikipedia.org/wiki/Caret_notation,wikipedia:pageid 2265038,https://en.wikipedia.org/wiki/Caret_notation,
ENC-0086,Casio calculator character sets,,wikidata_characterencoding | wikipedia_character_set_page,medium,no,no,remaining,encoding_family,wikipedia:pageid 54221610,https://en.wikipedia.org/wiki/Casio_calculator_character_sets,wikidata:Q30693953 | wikipedia:pageid 54221610,https://www.wikidata.org/wiki/Q30693953 | https://en.wikipedia.org/wiki/Casio_calculator_character_sets,
ENC-0087,CCIR 476,CCIR-476 | NAVTEX | SITOR | SITOR-B,maritime_telegraph_code | wikidata_characterencoding | wikipedia_character_set_page,high,no,yes,implemented,implemented,wikipedia:pageid 62089600,https://en.wikipedia.org/wiki/CCIR_476,wikidata:Q85749828 | wikipedia:pageid 62089600 | supplement:CCIR 476,https://www.wikidata.org/wiki/Q85749828 | https://en.wikipedia.org/wiki/CCIR_476 | https://www.itu.int/rec/R-REC-M.476/en,official_specification
ENC-0088,CCITT 2,,wikipedia_character_set_page,candidate,no,yes,implemented,implemented,wikipedia:pageid 53850148,https://en.wikipedia.org/wiki/CCITT_2,wikipedia:pageid 53850148,https://en.wikipedia.org/wiki/CCITT_2,
ENC-0090,CDC display code,CDC-6-12-DISPLAY-CODE-63 | CDC-6-12-DISPLAY-CODE-64 | CDC-6000-DISPLAY-CODE | CDC-CYBER-DISPLAY-CODE | CDC-DISPLAY-CODE | CDC-DISPLAY-CODE-63 | CDC-DISPLAY-CODE-64 | CDC-DISPLAY-CODE-ASCII-63 | CDC-DISPLAY-CODE-ASCII-64 | CDC612-DISPLAY-CODE,historical_information_system_encoding | six_bit_character_code | wikidata_characterencoding | wikipedia_character_set_page,high,no,yes,implemented,implemented,wikipedia:pageid 4488830,https://en.wikipedia.org/wiki/CDC_display_code,wikidata:Q5009913 | wikipedia_historical:CDC display code | wikipedia:pageid 4488830 | supplement:CDC display code,https://www.wikidata.org/wiki/Q5009913 | https://en.wikipedia.org/wiki/List_of_information_system_character_sets | https://en.wikipedia.org/wiki/CDC_display_code | https://bitsavers.org/pdf/cdc/cyber/nos/60435600L_NOS_Version_1_Operators_Guide_May1980.pdf,historical_inventory | vendor_manual
ENC-0095,CER-GS,,wikipedia_character_set_page,candidate,no,no,remaining,research_candidate,wikipedia:pageid 53321435,https://en.wikipedia.org/wiki/CER-GS,wikipedia:pageid 53321435,https://en.wikipedia.org/wiki/CER-GS,
ENC-0096,CESU-8,CESU8 | Compatibility Encoding Scheme for UTF-16: 8-Bit | csCESU-8 | csCESU8 | ibm-9400,iana_registered_charset | icu_converter | openjdk_charset | wikidata_unicodeencoding | wikipedia_character_set_page,high,no,yes,implemented,implemented,wikipedia:pageid 2232502 | wikipedia:pageid 50624363,https://en.wikipedia.org/wiki/CESU-8 | https://en.wikipedia.org/wiki/Compatibility_Encoding_Scheme_for_UTF-16%3A_8-Bit,iana:MIBenum 1016 | icu:CESU-8 | openjdk:CESU_8 | wikidata:Q455180 | wikipedia:pageid 2232502 | wikipedia:pageid 50624363,https://www.iana.org/assignments/character-sets/character-sets.xhtml | https://raw.githubusercontent.com/unicode-org/icu/main/icu4c/source/data/mappings/convrtrs.txt | https://raw.githubusercontent.com/openjdk/jdk/master/make/data/charsetmapping/charsets | https://www.wikidata.org/wiki/Q455180 | https://en.wikipedia.org/wiki/CESU-8 | https://en.wikipedia.org/wiki/Compatibility_Encoding_Scheme_for_UTF-16%3A_8-Bit,openjdk_current_source
ENC-0102,Chinese Character Code for Information Interchange,,wikidata_codedcharacterset | wikipedia_character_set_page,medium,no,no,remaining,codec_gap,wikipedia:pageid 1497620,https://en.wikipedia.org/wiki/Chinese_Character_Code_for_Information_Interchange,wikidata:Q1073697 | wikipedia:pageid 1497620,https://www.wikidata.org/wiki/Q1073697 | https://en.wikipedia.org/wiki/Chinese_Character_Code_for_Information_Interchange,
ENC-0103,Chinese character encoding,,wikipedia_character_set_page,candidate,no,yes,implemented,implemented,wikipedia:pageid 274699,https://en.wikipedia.org/wiki/Chinese_character_encoding,wikipedia:pageid 274699,https://en.wikipedia.org/wiki/Chinese_character_encoding,
ENC-0112,CJK characters,,wikipedia_character_set_page,candidate,no,no,remaining,research_candidate,wikipedia:pageid 160987,https://en.wikipedia.org/wiki/CJK_characters,wikipedia:pageid 160987,https://en.wikipedia.org/wiki/CJK_characters,
ENC-0113,CJK Unified Ideographs,,wikipedia_character_set_page,candidate,no,no,remaining,research_candidate,wikipedia:pageid 6094332,https://en.wikipedia.org/wiki/CJK_Unified_Ideographs,wikipedia:pageid 6094332,https://en.wikipedia.org/wiki/CJK_Unified_Ideographs,
ENC-0114,Cluff–Foster–Idelson code,,wikipedia_character_set_page,candidate,no,no,remaining,research_candidate,wikipedia:pageid 57932208,https://en.wikipedia.org/wiki/Cluff%E2%80%93Foster%E2%80%93Idelson_code,wikipedia:pageid 57932208,https://en.wikipedia.org/wiki/Cluff%E2%80%93Foster%E2%80%93Idelson_code,
ENC-0115,Code page 0,,wikipedia_character_set_page,candidate,no,no,remaining,research_candidate,wikipedia:pageid 50892857,https://en.wikipedia.org/wiki/Code_page_0,wikipedia:pageid 50892857,https://en.wikipedia.org/wiki/Code_page_0,
ENC-0116,Code page 10000,,wikipedia_character_set_page,candidate,no,yes,implemented,implemented,wikipedia:pageid 1451206,https://en.wikipedia.org/wiki/Code_page_10000,wikipedia:pageid 1451206,https://en.wikipedia.org/wiki/Code_page_10000,
ENC-0117,Code page 10004,,wikipedia_character_set_page,candidate,no,yes,implemented,implemented,wikipedia:pageid 43244374,https://en.wikipedia.org/wiki/Code_page_10004,wikipedia:pageid 43244374,https://en.wikipedia.org/wiki/Code_page_10004,
ENC-0118,Code page 10006,,wikipedia_character_set_page,candidate,no,yes,implemented,implemented,wikipedia:pageid 43244373,https://en.wikipedia.org/wiki/Code_page_10006,wikipedia:pageid 43244373,https://en.wikipedia.org/wiki/Code_page_10006,
ENC-0119,Code page 10007,,wikipedia_character_set_page,candidate,no,yes,implemented,implemented,wikipedia:pageid 1459403,https://en.wikipedia.org/wiki/Code_page_10007,wikipedia:pageid 1459403,https://en.wikipedia.org/wiki/Code_page_10007,
ENC-0120,Code page 10017,,wikipedia_character_set_page,candidate,no,yes,implemented,implemented,wikipedia:pageid 43244395,https://en.wikipedia.org/wiki/Code_page_10017,wikipedia:pageid 43244395,https://en.wikipedia.org/wiki/Code_page_10017,
ENC-0121,Code page 10029,,wikipedia_character_set_page,candidate,no,yes,implemented,implemented,wikipedia:pageid 1459612,https://en.wikipedia.org/wiki/Code_page_10029,wikipedia:pageid 1459612,https://en.wikipedia.org/wiki/Code_page_10029,
ENC-0122,Code page 1004,,wikipedia_character_set_page,candidate,no,yes,implemented,implemented,wikipedia:pageid 57409565,https://en.wikipedia.org/wiki/Code_page_1004,wikipedia:pageid 57409565,https://en.wikipedia.org/wiki/Code_page_1004,
ENC-0123,Code page 1006,,wikidata_codepage | wikipedia_character_set_page,medium,no,yes,implemented,implemented,wikipedia:pageid 64296319,https://en.wikipedia.org/wiki/Code_page_1006,wikidata:Q96375197 | wikipedia:pageid 64296319,https://www.wikidata.org/wiki/Q96375197 | https://en.wikipedia.org/wiki/Code_page_1006,
ENC-0124,Code page 10079,,wikipedia_character_set_page,candidate,no,yes,implemented,implemented,wikipedia:pageid 43244400,https://en.wikipedia.org/wiki/Code_page_10079,wikipedia:pageid 43244400,https://en.wikipedia.org/wiki/Code_page_10079,
ENC-0125,Code page 1008,,wikidata_codepage | wikipedia_character_set_page,medium,no,yes,implemented,implemented,wikipedia:pageid 64296679,https://en.wikipedia.org/wiki/Code_page_1008,wikidata:Q96375198 | wikipedia:pageid 64296679,https://www.wikidata.org/wiki/Q96375198 | https://en.wikipedia.org/wiki/Code_page_1008,
ENC-0126,Code page 10081,,wikipedia_character_set_page,candidate,no,yes,implemented,implemented,wikipedia:pageid 54344602,https://en.wikipedia.org/wiki/Code_page_10081,wikipedia:pageid 54344602,https://en.wikipedia.org/wiki/Code_page_10081,
ENC-0127,Code page 10082,,wikipedia_character_set_page,candidate,no,yes,implemented,implemented,wikipedia:pageid 54344610,https://en.wikipedia.org/wiki/Code_page_10082,wikipedia:pageid 54344610,https://en.wikipedia.org/wiki/Code_page_10082,
ENC-0128,Code page 1009,,wikidata_codepage | wikipedia_character_set_page,medium,no,yes,implemented,implemented,wikipedia:pageid 49798554,https://en.wikipedia.org/wiki/Code_page_1009,wikidata:Q25304982 | wikipedia:pageid 49798554,https://www.wikidata.org/wiki/Q25304982 | https://en.wikipedia.org/wiki/Code_page_1009,
ENC-0129,Code page 1010,,wikidata_codepage | wikipedia_character_set_page,medium,no,yes,implemented,implemented,wikipedia:pageid 49798752,https://en.wikipedia.org/wiki/Code_page_1010,wikidata:Q25304984 | wikipedia:pageid 49798752,https://www.wikidata.org/wiki/Q25304984 | https://en.wikipedia.org/wiki/Code_page_1010,
ENC-0130,Code page 1012,,wikidata_codepage | wikipedia_character_set_page,medium,no,yes,implemented,implemented,wikipedia:pageid 52499316,https://en.wikipedia.org/wiki/Code_page_1012,wikidata:Q28454464 | wikipedia:pageid 52499316,https://www.wikidata.org/wiki/Q28454464 | https://en.wikipedia.org/wiki/Code_page_1012,
ENC-0131,Code page 1013,,wikidata_codepage | wikipedia_character_set_page,medium,no,yes,implemented,implemented,wikipedia:pageid 52499365,https://en.wikipedia.org/wiki/Code_page_1013,wikidata:Q28454465 | wikipedia:pageid 52499365,https://www.wikidata.org/wiki/Q28454465 | https://en.wikipedia.org/wiki/Code_page_1013,
ENC-0132,Code page 1014,,wikidata_codepage | wikipedia_character_set_page,medium,no,yes,implemented,implemented,wikipedia:pageid 52499398,https://en.wikipedia.org/wiki/Code_page_1014,wikidata:Q28454466 | wikipedia:pageid 52499398,https://www.wikidata.org/wiki/Q28454466 | https://en.wikipedia.org/wiki/Code_page_1014,
ENC-0133,Code page 1015,,wikidata_codepage | wikipedia_character_set_page,medium,no,yes,implemented,implemented,wikipedia:pageid 53170206,https://en.wikipedia.org/wiki/Code_page_1015,wikidata:Q30591602 | wikipedia:pageid 53170206,https://www.wikidata.org/wiki/Q30591602 | https://en.wikipedia.org/wiki/Code_page_1015,
ENC-0134,Code page 1016,,wikidata_codepage | wikipedia_character_set_page,medium,no,yes,implemented,implemented,wikipedia:pageid 53170389,https://en.wikipedia.org/wiki/Code_page_1016,wikidata:Q30591606 | wikipedia:pageid 53170389,https://www.wikidata.org/wiki/Q30591606 | https://en.wikipedia.org/wiki/Code_page_1016,
ENC-0135,Code page 1017,,wikidata_codepage | wikipedia_character_set_page,medium,no,yes,implemented,implemented,wikipedia:pageid 53170423,https://en.wikipedia.org/wiki/Code_page_1017,wikidata:Q30591609 | wikipedia:pageid 53170423,https://www.wikidata.org/wiki/Q30591609 | https://en.wikipedia.org/wiki/Code_page_1017,
ENC-0136,Code page 1018,,wikidata_codepage | wikipedia_character_set_page,medium,no,yes,implemented,implemented,wikipedia:pageid 53170460,https://en.wikipedia.org/wiki/Code_page_1018,wikidata:Q30591613 | wikipedia:pageid 53170460,https://www.wikidata.org/wiki/Q30591613 | https://en.wikipedia.org/wiki/Code_page_1018,
ENC-0137,Code page 1019,,wikidata_codepage | wikipedia_character_set_page,medium,no,yes,implemented,implemented,wikipedia:pageid 53170513,https://en.wikipedia.org/wiki/Code_page_1019,wikidata:Q30591611 | wikipedia:pageid 53170513,https://www.wikidata.org/wiki/Q30591611 | https://en.wikipedia.org/wiki/Code_page_1019,
