catalog_id,name,aliases,kinds,confidence,gnu_libiconv_1_19,gnu_canonical,iconvex,sources,source_ids,source_urls,statuses,descriptions,record_count,implementation_disposition
ENC-0001,"7-bit Arabic Code for Information Interchange, Arab standard ASMO-449, ISO 9036",ISO-IR-89,iso_ir_coded_character_set,high,no,,yes,iso_ir,iso_ir:ISO-IR-89,https://itscj.ipsj.or.jp/ir/089.pdf,registered_historical,"7-bit Arabic Code for Information Interchange, Arab standard ASMO-449, ISO 9036",1,implemented
ENC-0002,ABC 800,ABC800-CHARACTER-MODE | LUXOR-ABC800-BASIC-II-1981-CHARACTER-MODE,source_qualified_seven_bit_character_encoding | wikipedia_character_set_page,high,no,,yes,wikipedia | supplement,wikipedia:pageid 584429 | supplement:ABC 800,https://en.wikipedia.org/wiki/ABC_800 | https://www.abc80.net/archive/luxor/ABC80x/ABC800-manual-BASIC-II.pdf,primary_vendor_manual_exact_mapping,Exact 128-position 1981 BASIC II character-mode table; graphics mode and ambiguous bare ABC800 runtime aliases are deliberately excluded.,2,implemented
ENC-0003,ABICOMP character set,ABICOMP | BRAZIL-ABICOMP | CODE-PAGE-3848 | CP3848 | FREEDOS-CP3848,single_byte_character_encoding | wikidata_characterencoding | wikipedia_character_set_page,high,no,,yes,wikidata | wikipedia | supplement,wikidata:Q28454173 | wikipedia:pageid 51976001 | supplement:ABICOMP character set,https://www.wikidata.org/wiki/Q28454173 | https://en.wikipedia.org/wiki/ABICOMP_character_set | https://archive.org/download/manuallib-id-2525457/2525457.pdf,primary_source_exact_mapping,"character set used in Brazil | Exact 192-defined-byte Brazil-ABICOMP / code-page-3848 profile from the Star LC-8021 manual, independently confirmed by Epson 749516.pdf and FreeDOS CPIDOS; PCL-13P, PCL-14P, and ABICOMP-INTERNATIONAL remain excluded because no exact byte-identical mapping was established.",3,implemented
ENC-0004,Adobe-Japan1,,wikidata_codedcharacterset,medium,no,,no,wikidata,wikidata:Q55688369,https://www.wikidata.org/wiki/Q55688369,,,1,repertoire_profile
ENC-0005,Adobe-Standard-Encoding,Adobe Standard Encoding | csAdobeStandardEncoding,iana_registered_charset | unicode_mapping_table | wikidata_characterencoding,high,no,,yes,iana | unicode_mappings | wikidata,iana:MIBenum 2005 | unicode_mappings:ADOBE/stdenc | wikidata:Q28600294,https://www.iana.org/assignments/character-sets/character-sets.xhtml | https://www.unicode.org/Public/MAPPINGS/VENDORS/ADOBE/stdenc.txt | https://www.wikidata.org/wiki/Q28600294,mapping_archive,"PostScript Language Reference Manual PCL Symbol Set id: 10J | 8-bit encoding extended from ASCII, used as the default encoding for many PostScript fonts",3,implemented
ENC-0006,Adobe-Symbol-Encoding,Adobe Symbol Encoding | csHPPSMath,iana_registered_charset | unicode_mapping_table,high,no,,yes,iana | unicode_mappings,iana:MIBenum 2020 | unicode_mappings:ADOBE/symbol,https://www.iana.org/assignments/character-sets/character-sets.xhtml | https://www.unicode.org/Public/MAPPINGS/VENDORS/ADOBE/symbol.txt,mapping_archive,PostScript Language Reference Manual PCL Symbol Set id: 5M,2,implemented
ENC-0007,Advanced Video Attribute Terminal Assembler and Recreator,,wikidata_characterencoding,medium,no,,no,wikidata,wikidata:Q4686327,https://www.wikidata.org/wiki/Q4686327,,system of escape sequences occasionally used on bulletin board systems,1,terminal_protocol
ENC-0008,AIS6,AIS six-bit text | ITU-R M.1371-6 Table 45,maritime_telecom_character_encoding,high,no,,yes,supplement,supplement:AIS6,https://www.itu.int/rec/R-REC-M.1371/en,official_specification,"Six-bit AIS text table, distinct from IEC 61162 payload armoring.",1,implemented
ENC-0009,aix-IBM_udcJP-4.3.6,x-IBM-udcJP,icu_converter,high,no,,yes,icu,icu:aix-IBM_udcJP-4.3.6,https://raw.githubusercontent.com/unicode-org/icu/main/icu4c/source/data/mappings/convrtrs.txt,,,1,implemented
ENC-0010,ALCOR,,wikipedia_character_set_page,candidate,no,,no,wikipedia,wikipedia:pageid 4862582,https://en.wikipedia.org/wiki/ALCOR,,,1,research_candidate
ENC-0011,alphanumeric,,wikidata_characterencoding,medium,no,,no,wikidata,wikidata:Q737372,https://www.wikidata.org/wiki/Q737372,,set of alphabetic and numeric characters,1,repertoire_abstraction
ENC-0012,Alternate Primary Graphic Set No. 1 CSA Standard Z 243.4-1985,ISO-IR-121,iso_ir_coded_character_set,high,no,,yes,iso_ir,iso_ir:ISO-IR-121,https://itscj.ipsj.or.jp/ir/121.pdf,registered_historical,Alternate Primary Graphic Set No. 1 CSA Standard Z 243.4-1985,1,implemented
ENC-0013,Alternate Primary Graphic Set No.2 CSA Standard Z 243.4-1985,ISO-IR-122,iso_ir_coded_character_set,high,no,,yes,iso_ir,iso_ir:ISO-IR-122,https://itscj.ipsj.or.jp/ir/122.pdf,registered_historical,Alternate Primary Graphic Set No.2 CSA Standard Z 243.4-1985,1,implemented
ENC-0014,American National Standard Extended Latin Alphabet Coded Character Set for Bibliographic Use (ANSEL),American National Standard for Extended Latin Alphabet Coded Character Set for Bibliographic Use | ANSEL | ANSI/NISO Z39.47 | ISO-IR-231,bibliographic_character_set | iso_ir_coded_character_set | wikidata_codedcharacterset | wikipedia_character_set_page,high,no,,yes,iso_ir | wikidata | wikipedia | supplement,iso_ir:ISO-IR-231 | wikidata:Q2819298 | wikipedia:pageid 410443 | supplement:ANSEL,https://itscj.ipsj.or.jp/ir/231.pdf | https://www.wikidata.org/wiki/Q2819298 | https://en.wikipedia.org/wiki/ANSEL | https://www.loc.gov/marc/specifications/codetables/ExtendedLatin.html,official_specification | registered_historical,American National Standard Extended Latin Alphabet Coded Character Set for Bibliographic Use (ANSEL) | character set | Extended Latin bibliographic character set used by MARC-8.,4,implemented
ENC-0015,Amiga-1251,(Aliases are provided for historical reasons and should not be used) [Malyshev] | Ami-1251 | Ami1251 | Amiga1251 | csAmiga1251,iana_registered_charset,high,no,,yes,iana,iana:MIBenum 2104,https://www.iana.org/assignments/character-sets/character-sets.xhtml,,See [http://www.amiga.ultranet.ru/Amiga-1251.html],1,implemented
ENC-0016,Amstrad CP/M Plus character set,,wikipedia_character_set_page,candidate,no,,yes,wikipedia,wikipedia:pageid 54335453,https://en.wikipedia.org/wiki/Amstrad_CP/M_Plus_character_set,,,1,implemented
ENC-0017,Amstrad CPC character set,,wikipedia_character_set_page,candidate,no,,yes,wikipedia,wikipedia:pageid 63377119,https://en.wikipedia.org/wiki/Amstrad_CPC_character_set,,,1,implemented
ENC-0018,ANSI_X3.110,ANSI_X3.110-1983 | CSA_T500 | CSA_T500-1983 | CSISO99NAPLPS | ISO-IR-99 | NAPLPS,glibc_gconv_codec,high,no,,yes,glibc,glibc:ANSI_X3.110,https://sourceware.org/glibc/manual/latest/html_node/Generic-Charset-Conversion.html,glibc_current_source,,1,implemented
ENC-0019,ANSI_X3.110-1983,CSA_T500-1983 | csISO99NAPLPS | iso-ir-99 | NAPLPS,iana_registered_charset | rfc1345_charset,high,no,,yes,iana | rfc1345,iana:MIBenum 74 | rfc1345:ANSI_X3.110-1983,https://www.iana.org/assignments/character-sets/character-sets.xhtml | https://www.rfc-editor.org/rfc/rfc1345.html,historical_registry,"[ISO-IR: International Register of Escape Sequences] Note: The current registration authority is IPSJ/ITSCJ, Japan.",2,implemented
ENC-0020,"APL Character Set, Canadian APL Working Group",ISO-IR-68,iso_ir_coded_character_set,high,no,,yes,iso_ir,iso_ir:ISO-IR-68,https://itscj.ipsj.or.jp/ir/068.pdf,registered_historical,"APL Character Set, Canadian APL Working Group",1,implemented
ENC-0021,APL-ISO-IR-68,,unicode_mapping_table,high,no,,yes,unicode_mappings,unicode_mappings:MISC/APL-ISO-IR-68,https://www.unicode.org/Public/MAPPINGS/VENDORS/MISC/APL-ISO-IR-68.TXT,mapping_archive,,1,implemented
ENC-0022,APL-ISO-IR-68-2004,,unicode_mapping_table,high,no,,yes,unicode_mappings,unicode_mappings:MISC/APL-ISO-IR-68-2004,https://www.unicode.org/Public/MAPPINGS/VENDORS/MISC/DatedVersions/APL-ISO-IR-68-2004.TXT,mapping_archive,,1,implemented
ENC-0023,Apple I character set,,wikipedia_character_set_page,candidate,no,,no,wikipedia,wikipedia:pageid 61693236,https://en.wikipedia.org/wiki/Apple_I_character_set,,,1,research_candidate
ENC-0024,Apple II character set,,wikidata_characterencoding | wikipedia_character_set_page,medium,no,,yes,wikidata | wikipedia,wikidata:Q39087662 | wikipedia:pageid 54566027,https://www.wikidata.org/wiki/Q39087662 | https://en.wikipedia.org/wiki/Apple_II_character_set,,computer character set,2,implemented
ENC-0025,Arabic Character Set CODAR-U IERA (Morocco),ISO-IR-59,iso_ir_coded_character_set,high,no,,yes,iso_ir,iso_ir:ISO-IR-59,https://itscj.ipsj.or.jp/ir/059.pdf,registered_historical,Arabic Character Set CODAR-U IERA (Morocco),1,implemented
ENC-0026,Arabic/French/German Set,ISO-IR-167,iso_ir_coded_character_set,high,no,,yes,iso_ir,iso_ir:ISO-IR-167,https://itscj.ipsj.or.jp/ir/167.pdf,registered_historical,Arabic/French/German Set,1,implemented
ENC-0027,ARIB STD B24 character set,,wikidata_characterencoding | wikipedia_character_set_page,medium,no,,no,wikidata | wikipedia,wikidata:Q39087152 | wikipedia:pageid 54428551,https://www.wikidata.org/wiki/Q39087152 | https://en.wikipedia.org/wiki/ARIB_STD_B24_character_set,,character encoding and character set extensions standardized for telecommunicationand broadcasting in Japan,2,codec_gap
ENC-0028,ArmSCII,,wikipedia_character_set_page,candidate,no,,no,wikipedia,wikipedia:pageid 932710,https://en.wikipedia.org/wiki/ArmSCII,,,1,encoding_family
ENC-0029,ARMSCII-8,ARMSCII8,glibc_gconv_codec | gnu_fixed_codec,high,yes,ARMSCII-8,yes,gnu_libiconv | glibc,gnu_libiconv:armscii_8 | glibc:ARMSCII-8,https://www.gnu.org/software/libiconv/ | https://sourceware.org/glibc/manual/latest/html_node/Generic-Charset-Conversion.html,fixed_codec | glibc_current_source,,2,implemented
ENC-0030,ASMO_449,arabic7 | ASMO 449 | csISO89ASMO449 | iso-ir-89 | ISO_9036,glibc_gconv_codec | iana_registered_charset | rfc1345_charset | wikidata_codepage | wikipedia_character_set_page,high,no,,yes,iana | glibc | rfc1345 | wikidata | wikipedia,iana:MIBenum 65 | glibc:ASMO_449 | rfc1345:ASMO_449 | wikidata:Q11189653 | wikipedia:pageid 5546531,https://www.iana.org/assignments/character-sets/character-sets.xhtml | https://sourceware.org/glibc/manual/latest/html_node/Generic-Charset-Conversion.html | https://www.rfc-editor.org/rfc/rfc1345.html | https://www.wikidata.org/wiki/Q11189653 | https://en.wikipedia.org/wiki/ASMO_449,glibc_current_source | historical_registry,"[ISO-IR: International Register of Escape Sequences] Note: The current registration authority is IPSJ/ITSCJ, Japan. | 7-bit coded character set",5,implemented
ENC-0031,Atari ST character set,,wikidata_characterencoding | wikipedia_character_set_page,medium,no,,yes,wikidata | wikipedia,wikidata:Q15784268 | wikipedia:pageid 49729654,https://www.wikidata.org/wiki/Q15784268 | https://en.wikipedia.org/wiki/Atari_ST_character_set,,character set of the Atari ST personal computer computer family,2,implemented
