canonical,aliases,module,stateful
ATARIST,ATARI,Iconvex.Extras.Codecs.Atarist,false
BIG5-2003,,Iconvex.Extras.Codecs.Big52003,false
CP1046,IBM-1046,Iconvex.Extras.Codecs.Cp1046,false
CP1124,IBM-1124,Iconvex.Extras.Codecs.Cp1124,false
CP1125,IBM-1125,Iconvex.Extras.Codecs.Cp1125,false
CP1129,IBM-1129,Iconvex.Extras.Codecs.Cp1129,false
CP1161,CSIBM1161|IBM-1161|IBM1161,Iconvex.Extras.Codecs.Cp1161,false
CP1162,CSIBM1162|IBM-1162|IBM1162,Iconvex.Extras.Codecs.Cp1162,false
CP1163,CSIBM1163|IBM-1163|IBM1163,Iconvex.Extras.Codecs.Cp1163,false
CP437,437|CSPC8CODEPAGE437|IBM-437|IBM437,Iconvex.Extras.Codecs.Cp437,false
CP737,,Iconvex.Extras.Codecs.Cp737,false
CP775,CSPC775BALTIC|IBM775,Iconvex.Extras.Codecs.Cp775,false
CP852,852|CSPCP852|IBM-852|IBM852,Iconvex.Extras.Codecs.Cp852,false
CP853,,Iconvex.Extras.Codecs.Cp853,false
CP855,855|CSIBM855|IBM-855|IBM855,Iconvex.Extras.Codecs.Cp855,false
CP856,IBM-856,Iconvex.Extras.Codecs.Cp856,false
CP857,857|CSIBM857|IBM-857|IBM857,Iconvex.Extras.Codecs.Cp857,false
CP858,,Iconvex.Extras.Codecs.Cp858,false
CP860,860|CSIBM860|IBM-860|IBM860,Iconvex.Extras.Codecs.Cp860,false
CP861,861|CP-IS|CSIBM861|IBM-861|IBM861,Iconvex.Extras.Codecs.Cp861,false
CP863,863|CSIBM863|IBM-863|IBM863,Iconvex.Extras.Codecs.Cp863,false
CP864,CSIBM864|IBM-864|IBM864,Iconvex.Extras.Codecs.Cp864,false
CP865,865|CSIBM865|IBM-865|IBM865,Iconvex.Extras.Codecs.Cp865,false
CP869,869|CP-GR|CSIBM869|IBM-869|IBM869,Iconvex.Extras.Codecs.Cp869,false
CP922,IBM-922,Iconvex.Extras.Codecs.Cp922,false
CP943,IBM-943|SJIS-1|SJIS-2,Iconvex.Extras.Codecs.Cp943,false
DEC-HANYU,DECHANYU,Iconvex.Extras.Codecs.DecHanyu,false
DEC-KANJI,DECKANJI,Iconvex.Extras.Codecs.DecKanji,false
EUC-JISX0213,EUC-JIS-2004,Iconvex.Extras.Codecs.EucJisx0213,false
IBM-037,CP037|CSIBM037|EBCDIC-CP-CA|EBCDIC-CP-NL|EBCDIC-CP-US|EBCDIC-CP-WT|IBM037,Iconvex.Extras.Codecs.Ebcdic037,false
IBM-1025,CP1025|IBM1025,Iconvex.Extras.Codecs.Ebcdic1025,false
IBM-1026,CP1026|CSIBM1026|IBM1026,Iconvex.Extras.Codecs.Ebcdic1026,false
IBM-1047,CP1047|CSIBM1047|IBM1047,Iconvex.Extras.Codecs.Ebcdic1047,false
IBM-1097,CP1097|IBM1097,Iconvex.Extras.Codecs.Ebcdic1097,false
IBM-1112,CP1112|IBM1112,Iconvex.Extras.Codecs.Ebcdic1112,false
IBM-1122,CP1122|IBM1122,Iconvex.Extras.Codecs.Ebcdic1122,false
IBM-1123,CP1123|IBM1123,Iconvex.Extras.Codecs.Ebcdic1123,false
IBM-1130,CP1130|IBM1130,Iconvex.Extras.Codecs.Ebcdic1130,false
IBM-1132,CP1132|IBM1132,Iconvex.Extras.Codecs.Ebcdic1132,false
IBM-1137,CP1137|IBM1137,Iconvex.Extras.Codecs.Ebcdic1137,false
IBM-1140,CCSID01140|CP01140|CSIBM01140|EBCDIC-US-37+EURO|IBM01140|IBM1140,Iconvex.Extras.Codecs.Ebcdic1140,false
IBM-1141,CCSID01141|CP01141|CSIBM01141|EBCDIC-DE-273+EURO|IBM01141|IBM1141,Iconvex.Extras.Codecs.Ebcdic1141,false
IBM-1142,CCSID01142|CP01142|CSIBM01142|EBCDIC-DK-277+EURO|EBCDIC-NO-277+EURO|IBM01142|IBM1142,Iconvex.Extras.Codecs.Ebcdic1142,false
IBM-1143,CCSID01143|CP01143|CSIBM01143|EBCDIC-FI-278+EURO|EBCDIC-SE-278+EURO|IBM01143|IBM1143,Iconvex.Extras.Codecs.Ebcdic1143,false
