canonical,aliases,module,stateful
ABICOMP,BRAZIL-ABICOMP|CODE-PAGE-3848|CP3848|FREEDOS-CP3848,Iconvex.Specs.ABICOMP,false
ADOBE-POSTSCRIPT-3-ISOLATIN1-AGL-4036A9CA,ADOBE-POSTSCRIPT-3-ISOLATIN1ENCODING-AGL-4036A9CA,Iconvex.Specs.PostScript3ISOLatin1AGL4036A9CA,false
ADOBE-STANDARD-ENCODING,AdobeStandardEncoding|csAdobeStandardEncoding,Iconvex.Specs.VendorMappings.Codecs.C001,false
ADOBE-SYMBOL-ENCODING,AdobeSymbolEncoding,Iconvex.Specs.VendorMappings.Codecs.C002,false
AMSTRAD-CPC,AMSCPC,Iconvex.Specs.LegacyComputingN5028.Codecs.C3,false
AMSTRAD-CPM-PLUS,AMSCPM|AMSTRAD-PCW|ZX-SPECTRUM-PLUS3,Iconvex.Specs.LegacyComputingN5028.Codecs.C4,false
ANSEL,ANSI-Z39.47|Z39.47|csANSEL,Iconvex.Specs.ANSEL,false
ANSI_X3.110-1983,CSA_T500-1983|NAPLPS|iso-ir-99,Iconvex.Specs.RFC1345.Codecs.C050,false
APL-ISO-IR-68,ISO-IR-68-APL,Iconvex.Specs.UnicodeMisc.Codecs.C1,false
APL-ISO-IR-68-2004,ISO-IR-68-APL-2004,Iconvex.Specs.UnicodeMisc.Codecs.C2,false
APPLE-II-ALTERNATE-1-VIDEO,APL2ALT1,Iconvex.Specs.LegacyComputingN5028.Codecs.C5,false
APPLE-II-ALTERNATE-2-VIDEO,APL2ALT2,Iconvex.Specs.LegacyComputingN5028.Codecs.C6,false
APPLE-II-INTERCHANGE,APL2ICHG|APPLE-II,Iconvex.Specs.LegacyComputingN5028.Codecs.C7,false
APPLE-II-PRIMARY-VIDEO,APL2PRIM,Iconvex.Specs.LegacyComputingN5028.Codecs.C8,false
ASMO_449,ISO_9036|arabic7|iso-ir-89,Iconvex.Specs.RFC1345.Codecs.C041,false
ATARI-ST-INTERCHANGE,ATARISTI,Iconvex.Specs.LegacyComputingN5028.Codecs.C13,false
ATARI-ST-VIDEO,ATARISTV,Iconvex.Specs.LegacyComputingN5028.Codecs.C14,false
ATASCII-GRAPHICS-INTERCHANGE,ATARI-ASCII|ATARI8IG|ATASCII|ATASCII-CHR,Iconvex.Specs.LegacyComputingN5028.Codecs.C9,false
ATASCII-GRAPHICS-VIDEO,ATARI8VG,Iconvex.Specs.LegacyComputingN5028.Codecs.C11,false
ATASCII-INTERNATIONAL-INTERCHANGE,ATARI8II,Iconvex.Specs.LegacyComputingN5028.Codecs.C10,false
ATASCII-INTERNATIONAL-VIDEO,ATARI8VI,Iconvex.Specs.LegacyComputingN5028.Codecs.C12,false
Amiga-1251,Ami-1251|Ami1251|Amiga1251|csAmiga1251,Iconvex.Specs.IANAAmiga1251,false
BCD-CDC-IOWA-16BE,BCD-CDC-IOWA-RECONSTRUCTED-16BE,Iconvex.Specs.BCDCDCIowa16BE,false
BCD-CDC-IOWA-16LE,BCD-CDC-IOWA-RECONSTRUCTED-16LE,Iconvex.Specs.BCDCDCIowa16LE,false
BOCU-1,BOCU1|csBOCU-1,Iconvex.Specs.BOCU1,true
BRASCII,ABNT|ABNT-BRASCII|BRA-SCII|BRAZIL-ABNT|BRAZIL-ABNT-3847|CODE-PAGE-3847|CP3847|NBR-9611|NBR-9611:1991|NBR-9614|NBR-9614:1986,Iconvex.Specs.BraSCII,false
BRF,Braille-ASCII|Braille-Ready-Format,Iconvex.Specs.GlibcCharmaps.Codecs.C2,false
BS_4730,ISO646-GB|gb|iso-ir-4|uk,Iconvex.Specs.RFC1345.Codecs.C004,false
BS_viewdata,iso-ir-47,Iconvex.Specs.RFC1345.Codecs.C024,false
BULGARIA-PC,CP856-BULGARIAN|DATECS-CP856,Iconvex.Specs.KermitBulgariaPC,false
