canonical,aliases,module,unit_bits,transports
BCD-CDC-IOWA,BCD-CDC-IOWA-RECONSTRUCTED,Iconvex.Specs.BCDCDCIowa,12,BCD-CDC-IOWA-16BE|BCD-CDC-IOWA-16LE
CDC-167-BCD-HOLLERITH-1965,CDC-166-BCD-HOLLERITH-1965,Iconvex.Specs.CDC167BCDHollerith1965,12,CDC-167-BCD-HOLLERITH-1965-16BE|CDC-167-BCD-HOLLERITH-1965-16LE
CDC-6000-STANDARD-HOLLERITH-1970,CDC-6000-HOLLERITH-1970,Iconvex.Specs.CDC6000StandardHollerith1970,12,CDC-6000-STANDARD-HOLLERITH-1970-16BE|CDC-6000-STANDARD-HOLLERITH-1970-16LE
DEC-026-CARD-IOWA-824E61A9,DEC-026-PUNCHED-CARD-IOWA-824E61A9,Iconvex.Specs.DEC026CardIowa824E61A9,12,DEC-026-CARD-IOWA-824E61A9-16BE|DEC-026-CARD-IOWA-824E61A9-16LE
DEC-029-CARD-IOWA-824E61A9,DEC-029-PUNCHED-CARD-IOWA-824E61A9,Iconvex.Specs.DEC029CardIowa824E61A9,12,DEC-029-CARD-IOWA-824E61A9-16BE|DEC-029-CARD-IOWA-824E61A9-16LE
DEC-RADIX-50-18BIT,,Iconvex.Specs.DECRadix50PDP9,18,DEC-RADIX-50-18BIT-24BE|DEC-RADIX-50-18BIT-24LE
DEC-RADIX-50-36BIT,,Iconvex.Specs.DECRadix50PDP10,36,DEC-RADIX-50-36BIT-40BE|DEC-RADIX-50-36BIT-40LE
EBCD-CARD-IOWA-824E61A9,EBCD-PUNCHED-CARD-IOWA-824E61A9,Iconvex.Specs.EBCDCardIowa824E61A9,12,EBCD-CARD-IOWA-824E61A9-16BE|EBCD-CARD-IOWA-824E61A9-16LE
GE-600-CARD-IOWA-824E61A9,GE-600-PUNCHED-CARD-IOWA-824E61A9,Iconvex.Specs.GE600CardIowa824E61A9,12,GE-600-CARD-IOWA-824E61A9-16BE|GE-600-CARD-IOWA-824E61A9-16LE
IBM-029-CARD-IOWA-824E61A9,IBM-029-PUNCHED-CARD-IOWA-824E61A9,Iconvex.Specs.IBM029CardIowa824E61A9,12,IBM-029-CARD-IOWA-824E61A9-16BE|IBM-029-CARD-IOWA-824E61A9-16LE
IBM-1401-CARD,IBM1401-CARD,Iconvex.Specs.IBM1401Card,12,IBM-1401-CARD-16BE|IBM-1401-CARD-16LE
IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-A,BCD-A|IBM 026 Commercial card code|IBM-026-COMMERCIAL-CARD-CODE|IBM-24-26-ARRANGEMENT-A,Iconvex.Specs.IBM2426ArrangementA,12,IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-A-16BE|IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-A-16LE
IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-B,IBM-24-26-ARRANGEMENT-B,Iconvex.Specs.IBM2426ArrangementB,12,IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-B-16BE|IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-B-16LE
IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-C,IBM-24-26-ARRANGEMENT-C,Iconvex.Specs.IBM2426ArrangementC,12,IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-C-16BE|IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-C-16LE
IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-D,IBM-24-26-ARRANGEMENT-D,Iconvex.Specs.IBM2426ArrangementD,12,IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-D-16BE|IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-D-16LE
IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-E,IBM-24-26-ARRANGEMENT-E,Iconvex.Specs.IBM2426ArrangementE,12,IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-E-16BE|IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-E-16LE
IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-F,IBM-24-26-ARRANGEMENT-F,Iconvex.Specs.IBM2426ArrangementF,12,IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-F-16BE|IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-F-16LE
IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-G,IBM-24-26-ARRANGEMENT-G,Iconvex.Specs.IBM2426ArrangementG,12,IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-G-16BE|IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-G-16LE
IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-H,BCD-H|IBM 026 FORTRAN card code|IBM-026-FORTRAN-CARD-CODE|IBM-24-26-ARRANGEMENT-H,Iconvex.Specs.IBM2426ArrangementH,12,IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-H-16BE|IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-H-16LE
