canonical,aliases,unit_bits,standard_order,module,packed_names
CDC-6-12-DISPLAY-CODE-63,CDC612-DISPLAY-CODE-63|NOS-6-12-CODE-63|NOS-6-12-DISPLAY-CODE-63,6,msb,Iconvex.Specs.CDC612DisplayCode63,CDC-6-12-DISPLAY-CODE-63-PACKED-MSB|CDC-6-12-DISPLAY-CODE-63-PACKED-LSB
CDC-6-12-DISPLAY-CODE-64,CDC-6-12|CDC-6-12-DISPLAY-CODE|CDC612-DISPLAY-CODE|NOS-6-12-CODE|NOS-6-12-DISPLAY-CODE,6,msb,Iconvex.Specs.CDC612DisplayCode64,CDC-6-12-DISPLAY-CODE-64-PACKED-MSB|CDC-6-12-DISPLAY-CODE-64-PACKED-LSB
CDC-DISPLAY-CODE-63,CDC-63-DISPLAY-CODE|CDC-GRAPHIC-63,6,msb,Iconvex.Specs.CDCDisplayCode63,CDC-DISPLAY-CODE-63-PACKED-MSB|CDC-DISPLAY-CODE-63-PACKED-LSB
CDC-DISPLAY-CODE-64,CDC-6000-DISPLAY-CODE|CDC-CYBER-DISPLAY-CODE|CDC-DISPLAY-CODE|CDC-GRAPHIC-64,6,msb,Iconvex.Specs.CDCDisplayCode64,CDC-DISPLAY-CODE-64-PACKED-MSB|CDC-DISPLAY-CODE-64-PACKED-LSB
CDC-DISPLAY-CODE-ASCII-63,CDC-ASCII-DISPLAY-CODE-63|CDC-ASCII-GRAPHIC-63,6,msb,Iconvex.Specs.CDCDisplayCodeASCII63,CDC-DISPLAY-CODE-ASCII-63-PACKED-MSB|CDC-DISPLAY-CODE-ASCII-63-PACKED-LSB
CDC-DISPLAY-CODE-ASCII-64,CDC-ASCII-DISPLAY-CODE-64|CDC-ASCII-GRAPHIC-64,6,msb,Iconvex.Specs.CDCDisplayCodeASCII64,CDC-DISPLAY-CODE-ASCII-64-PACKED-MSB|CDC-DISPLAY-CODE-ASCII-64-PACKED-LSB
DEC-SPECIAL,DEC-SPECIAL-GL|DEC-SPECIAL-GRAPHIC|DEC-SPECIAL-GRAPHICS|VT100-GRAPHICS|VT100-LINE-DRAWING,7,msb,Iconvex.Specs.DECSpecial,DEC-SPECIAL-PACKED-MSB|DEC-SPECIAL-PACKED-LSB
DEC-TECHNICAL,DEC-TECHNICAL-CHARACTER-SET|DEC-TECHNICAL-GL|VT300-TECHNICAL|VT300-TECHNICAL-GL,7,msb,Iconvex.Specs.DECTechnical,DEC-TECHNICAL-PACKED-MSB|DEC-TECHNICAL-PACKED-LSB
SI-960,DEC-7-BIT-HEBREW|DEC-HEBREW-7|DEC-HEBREW-7BIT|HEBREW-7|SI960,7,msb,Iconvex.Specs.SI960,SI-960-PACKED-MSB|SI-960-PACKED-LSB
SHORT-KOI,KOI-7|KOI-7-N2|KOI7|KOI7-N2|VKD,7,msb,Iconvex.Specs.ShortKOI,SHORT-KOI-PACKED-MSB|SHORT-KOI-PACKED-LSB
greek7,,7,msb,Iconvex.Specs.RFC1345.Codecs.C040,greek7-PACKED-MSB|greek7-PACKED-LSB
