byte_hex,unicode_hex,classification,status,notes
00,0000,c0_control,control,identity
01,0001,c0_control,control,identity
02,0002,c0_control,control,identity
03,0003,c0_control,control,identity
04,0004,c0_control,control,identity
05,0005,c0_control,control,identity
06,0006,c0_control,control,identity
07,0007,c0_control,control,identity
08,0008,c0_control,control,identity
09,0009,c0_control,control,identity
0A,000A,c0_control,control,identity
0B,000B,c0_control,control,identity
0C,000C,c0_control,control,identity
0D,000D,c0_control,control,identity
0E,000E,c0_control,control,identity
0F,000F,c0_control,control,identity
10,0010,c0_control,control,identity
11,0011,c0_control,control,identity
12,0012,c0_control,control,identity
13,0013,c0_control,control,identity
14,0014,c0_control,control,identity
15,0015,c0_control,control,identity
16,0016,c0_control,control,identity
17,0017,c0_control,control,identity
18,0018,c0_control,control,identity
19,0019,c0_control,control,identity
1A,001A,c0_control,control,identity
1B,001B,c0_control,control,identity
1C,001C,c0_control,control,identity
1D,001D,c0_control,control,identity
1E,001E,c0_control,control,identity
1F,001F,c0_control,control,identity
20,0020,ascii_graphic,space,identity
21,0021,ascii_graphic,graphic,identity
22,0022,ascii_graphic,graphic,identity
23,0023,ascii_graphic,graphic,identity
24,0024,ascii_graphic,graphic,identity
25,0025,ascii_graphic,graphic,identity
26,0026,ascii_graphic,graphic,identity
27,0027,ascii_graphic,graphic,identity
28,0028,ascii_graphic,graphic,identity
29,0029,ascii_graphic,graphic,identity
2A,002A,ascii_graphic,graphic,identity
2B,002B,ascii_graphic,graphic,identity
2C,002C,ascii_graphic,graphic,identity
2D,002D,ascii_graphic,graphic,identity
2E,002E,ascii_graphic,graphic,identity
2F,002F,ascii_graphic,graphic,identity
30,0030,ascii_graphic,graphic,identity
31,0031,ascii_graphic,graphic,identity
32,0032,ascii_graphic,graphic,identity
33,0033,ascii_graphic,graphic,identity
34,0034,ascii_graphic,graphic,identity
35,0035,ascii_graphic,graphic,identity
36,0036,ascii_graphic,graphic,identity
37,0037,ascii_graphic,graphic,identity
38,0038,ascii_graphic,graphic,identity
39,0039,ascii_graphic,graphic,identity
3A,003A,ascii_graphic,graphic,identity
