byte_hex,byte_octal,glyph_name,ec_unicode_sequence,cmap_unicode_sequence,status,notes
00,000,grave,0060,0060,assigned,
01,001,acute,00B4,00B4,assigned,
02,002,circumflex,02C6,02C6,assigned,
03,003,tilde,02DC,02DC,assigned,
04,004,dieresis,00A8,00A8,assigned,
05,005,hungarumlaut,02DD,02DD,assigned,
06,006,ring,02DA,02DA,assigned,
07,007,caron,02C7,02C7,assigned,
08,010,breve,02D8,02D8,assigned,
09,011,macron,00AF,00AF,assigned,
0A,012,dotaccent,02D9,02D9,assigned,
0B,013,cedilla,00B8,00B8,assigned,
0C,014,ogonek,02DB,02DB,assigned,
0D,015,quotesinglbase,201A,201A,assigned,
0E,016,guilsinglleft,2039,2039,assigned,
0F,017,guilsinglright,203A,203A,assigned,
10,020,quotedblleft,201C,201C,assigned,
11,021,quotedblright,201D,201D,assigned,
12,022,quotedblbase,201E,201E,assigned,
13,023,guillemotleft,00AB,00AB,assigned,
14,024,guillemotright,00BB,00BB,assigned,
15,025,endash,2013,2013,assigned,
16,026,emdash,2014,2014,assigned,
17,027,cwm,200B,200C,assigned,compound_word_mark_profile_difference
18,030,perthousandzero,,,undefined,perthousand_zero_has_no_unicode_mapping
19,031,dotlessi,0131,0131,assigned,
1A,032,dotlessj,0237,0237,assigned,
1B,033,ff,FB00,0066+0066,assigned,ligature_glyph_vs_text_sequence
1C,034,fi,FB01,0066+0069,assigned,ligature_glyph_vs_text_sequence
1D,035,fl,FB02,0066+006C,assigned,ligature_glyph_vs_text_sequence
1E,036,ffi,FB03,0066+0066+0069,assigned,ligature_glyph_vs_text_sequence
1F,037,ffl,FB04,0066+0066+006C,assigned,ligature_glyph_vs_text_sequence
20,040,visiblespace,2423,2423,assigned,
21,041,exclam,0021,0021,assigned,
22,042,quotedbl,0022,0022,assigned,
23,043,numbersign,0023,0023,assigned,
24,044,dollar,0024,0024,assigned,
25,045,percent,0025,0025,assigned,
26,046,ampersand,0026,0026,assigned,
27,047,quoteright,2019,2019,assigned,
28,050,parenleft,0028,0028,assigned,
29,051,parenright,0029,0029,assigned,
2A,052,asterisk,002A,002A,assigned,
2B,053,plus,002B,002B,assigned,
2C,054,comma,002C,002C,assigned,
2D,055,hyphen,002D,002D,assigned,
2E,056,period,002E,002E,assigned,
2F,057,slash,002F,002F,assigned,
