byte,unicode
00,0000
01,0001
02,0002
03,0003
04,0004
05,0005
06,0006
07,0007
08,0008
09,0009
0A,000A
0B,000B
0C,000C
0D,000D
0E,000E
0F,000F
10,0010
11,0011
12,0012
13,0013
14,0014
15,0015
16,0016
17,0017
18,0018
19,0019
1A,001A
1B,001B
1C,001C
1D,001D
1E,001E
1F,001F
20,0020
21,0021
22,0022
23,0023
24,0024
25,0025
26,0026
27,0027
28,0028
29,0029
2A,002A
2B,002B
2C,002C
2D,002D
2E,002E
2F,002F
30,0030
31,0031
32,0032
33,0033
34,0034
35,0035
36,0036
37,0037
38,0038
39,0039
3A,003A
3B,003B
3C,003C
3D,003D
3E,003E
3F,003F
40,0040
41,0041
42,0042
43,0043
44,0044
45,0045
46,0046
47,0047
48,0048
49,0049
4A,004A
4B,004B
4C,004C
4D,004D
4E,004E
4F,004F
50,0050
51,0051
52,0052
53,0053
54,0054
55,0055
56,0056
57,0057
58,0058
59,0059
5A,005A
5B,005B
5C,005C
5D,005D
5E,005E
5F,005F
60,0060
61,0061
62,0062
63,0063
64,0064
65,0065
66,0066
67,0067
68,0068
69,0069
6A,006A
6B,006B
6C,006C
6D,006D
6E,006E
6F,006F
70,0070
71,0071
72,0072
73,0073
74,0074
75,0075
76,0076
77,0077
78,0078
79,0079
7A,007A
7B,007B
7C,007C
7D,007D
7E,007E
7F,007F
80,0531
81,0532
82,0533
83,0534
84,0535
85,0536
86,0537
87,0538
88,0539
89,053A
8A,053B
8B,053C
8C,053D
8D,053E
8E,053F
8F,0540
90,0541
91,0542
92,0543
93,0544
94,0545
95,0546
96,0547
97,0548
98,0549
99,054A
9A,054B
9B,054C
9C,054D
9D,054E
9E,054F
9F,0550
A0,2020
A1,00B0
A2,00A2
A3,00A3
A4,00A7
A5,2022
A6,00B6
A7,0587
A8,00AE
A9,00A9
AA,2122
AB,055B
AC,055D
AD,2260
AE,055A
AF,0552
B0,221E
B1,00B1
B2,2264
B3,2265
B4,00A5
B5,00B5
B6,2202
B7,2211
B8,0555
B9,0585
BA,0556
BB,0586
BC,2740
BD,03A9
BE,03C0
BF,0582
C0,055E
C1,055C
C2,00AC
C3,221A
C4,0192
C5,2248
C6,2206
C7,00AB
C8,00BB
C9,2026
CA,00A0
CB,0551
CC,0581
CD,055F
CE,0553
CF,0583
D0,2013
D1,2014
D2,201C
D3,201D
D4,2018
D5,2019
D6,00F7
D7,201E
D8,0554
D9,0584
DA,2605
DB,20AC
DC,2039
DD,203A
DE,2116
DF,0580
E0,0561
E1,0562
E2,0563
E3,0564
E4,0565
E5,0566
E6,0567
E7,0568
E8,0569
E9,056A
EA,056B
EB,056C
EC,056D
ED,056E
EE,056F
EF,0570
F0,0571
F1,0572
F2,0573
F3,0574
F4,0575
F5,0576
F6,0577
F7,0578
F8,0579
F9,057A
FA,057B
FB,057C
FC,057D
FD,057E
FE,057F
FF,0589
