byte,unicode
00,0000
01,0001
02,0002
03,0003
04,0004
05,0005
06,0006
07,0007
08,0008
09,0009
0A,000A
0B,000B
0C,000C
0D,000D
0E,000E
0F,000F
10,0010
11,0011
12,0012
13,0013
14,0014
15,0015
16,0016
17,0017
18,0018
19,0019
1A,001A
1B,001B
1C,001C
1D,001D
1E,001E
1F,001F
20,0020
21,0021
22,0022
23,0023
24,0024
25,0025
26,0026
27,0027
28,0028
29,0029
2A,002A
2B,002B
2C,002C
2D,002D
2E,002E
2F,002F
30,0030
31,0031
32,0032
33,0033
34,0034
35,0035
36,0036
37,0037
38,0038
39,0039
3A,003A
3B,003B
3C,003C
3D,003D
3E,003E
3F,003F
40,0040
41,0041
42,0042
43,0043
44,0044
45,0045
46,0046
47,0047
48,0048
49,0049
4A,004A
4B,004B
4C,004C
4D,004D
4E,004E
4F,004F
50,0050
51,0051
52,0052
53,0053
54,0054
55,0055
56,0056
57,0057
58,0058
59,0059
5A,005A
5B,005B
5C,005C
5D,005D
5E,005E
5F,005F
60,0060
61,0061
62,0062
63,0063
64,0064
65,0065
66,0066
67,0067
68,0068
69,0069
6A,006A
6B,006B
6C,006C
6D,006D
6E,006E
6F,006F
70,0070
71,0071
72,0072
73,0073
74,0074
75,0075
76,0076
77,0077
78,0078
79,0079
7A,007A
7B,007B
7C,007C
7D,007D
7E,007E
7F,007F
80,0410
81,0411
82,0412
83,0413
84,0414
85,0415
86,0416
87,0417
88,0418
89,0419
8A,041A
8B,041B
8C,041C
8D,041D
8E,041E
8F,041F
90,0420
91,0421
92,0422
93,0423
94,0424
95,0425
96,0426
97,0427
98,0428
99,0429
9A,042A
9B,042B
9C,042C
9D,042D
9E,042E
9F,042F
A0,2020
A1,00B0
A2,04E6
A3,00A3
A4,00A7
A5,2022
A6,00B6
A7,0406
A8,00AE
A9,00A9
AA,2122
AB,04C7
AC,04C8
AD,2260
AE,02BC
AF,02EE
B0,221E
B1,00B1
B2,2264
B3,2265
B4,0456
B6,04E7
B7,0408
B8,04EC
B9,04ED
BA,04D2
BB,04D3
BC,04C5
BD,04C6
BE,04C9
BF,04CA
C0,0458
C1,048C
C2,0304
C3,0304
C4,0192
C5,2248
C7,00AB
C8,00BB
C9,2026
CA,00A0
CB,04CD
CC,04CE
CD,048E
CE,048F
CF,048D
D0,2013
D1,2014
D2,201C
D3,201D
D4,2018
D5,2019
D6,00F7
D7,201E
D8,048A
D9,048B
DA,04BA
DB,04BB
DC,2116
DD,0401
DE,0451
DF,044F
E0,0430
E1,0431
E2,0432
E3,0433
E4,0434
E5,0435
E6,0436
E7,0437
E8,0438
E9,0439
EA,043A
EB,043B
EC,043C
ED,043D
EE,043E
EF,043F
F0,0440
F1,0441
F2,0442
F3,0443
F4,0444
F5,0445
F6,0446
F7,0447
F8,0448
F9,0449
FA,044A
FB,044B
FC,044C
FD,044D
FE,044E
FF,20AC
