byte,unicode
00,0000
01,0001
02,0002
03,0003
04,0004
05,0005
06,0006
07,0007
08,0008
09,0009
0A,000A
0B,000B
0C,000C
0D,000D
0E,000E
0F,000F
10,0010
11,0011
12,0012
13,0013
14,0014
15,0015
16,0016
17,0017
18,0018
19,0019
1A,001A
1B,001B
1C,001C
1D,001D
1E,001E
1F,001F
20,0020
21,0021
22,0022
23,0023
24,0024
25,0025
26,0026
27,0027
28,0028
29,0029
2A,002A
2B,002B
2C,002C
2D,002D
2E,002E
2F,002F
30,0030
31,0031
32,0032
33,0033
34,0034
35,0035
36,0036
37,0037
38,0038
39,0039
3A,003A
3B,003B
3C,003C
3D,003D
3E,003E
3F,003F
40,0040
41,0041
42,0042
43,0043
44,0044
45,0045
46,0046
47,0047
48,0048
49,0049
4A,004A
4B,004B
4C,004C
4D,004D
4E,004E
4F,004F
50,0050
51,0051
52,0052
53,0053
54,0054
55,0055
56,0056
57,0057
58,0058
59,0059
5A,005A
5B,005B
5C,005C
5D,005D
5E,005E
5F,005F
60,0060
61,0061
62,0062
63,0063
64,0064
65,0065
66,0066
67,0067
68,0068
69,0069
6A,006A
6B,006B
6C,006C
6D,006D
6E,006E
6F,006F
70,0070
71,0071
72,0072
73,0073
74,0074
75,0075
76,0076
77,0077
78,0078
79,0079
7A,007A
7B,007B
7C,007C
7D,007D
7E,007E
7F,007F
80,10A0
81,10A1
82,10A2
83,10A3
84,10A4
85,10A5
86,10A6
87,10A7
88,10A8
89,10A9
8A,10AA
8B,10AB
8C,10AC
8D,10AD
8E,10AE
8F,10AF
90,10B0
91,10B1
92,10B2
93,10B3
94,10B4
95,10B5
96,10B6
97,10B7
98,10B8
99,10B9
9A,10BA
9B,10BB
9C,10BC
9D,10BD
9E,10BE
9F,10BF
A0,2020
A1,00B0
A2,00A2
A3,00A3
A4,00A7
A5,2022
A6,00B6
A7,0323
A8,00AE
A9,00A9
AA,2122
AB,0301
AC,0308
AD,2260
AE,10C1
AF,10C2
B0,221E
B1,00B1
B2,2264
B3,2265
B4,00A5
B5,00B5
B6,2202
B7,2211
B8,10C5
B9,10F5
BA,222B
BB,10F6
BC,10F8
BD,10F7
BE,10F1
BF,10F2
C0,0306
C1,0304
C2,00AC
C3,221A
C4,0192
C5,2248
C6,2206
C7,00AB
C8,00BB
C9,2026
CA,00A0
CB,10C0
CC,10F0
CD,10FB
CE,10C3
CF,10F3
D0,2013
D1,2014
D2,201C
D3,201D
D4,2018
D5,2019
D6,00F7
D7,201E
D8,10C4
D9,10F4
DA,2044
DB,20AC
DC,2039
DD,203A
DE,2116
DF,10EF
E0,10D0
E1,10D1
E2,10D2
E3,10D3
E4,10D4
E5,10D5
E6,10D6
E7,10D7
E8,10D8
E9,10D9
EA,10DA
EB,10DB
EC,10DC
ED,10DD
EE,10DE
EF,10DF
F0,10E0
F1,10E1
F2,10E2
F3,10E3
F4,10E4
F5,10E5
F6,10E6
F7,10E7
F8,10E8
F9,10E9
FA,10EA
FB,10EB
FC,10EC
FD,10ED
FE,10EE
FF,0589
