arrangement,column_index,column_label,punch_rows,mask_hex,unicode_hex,canonical_encode,decode_accepted
A,1,12,12,0x800,U+0026,yes,yes
A,2,12-3-8,12+3+8,0x842,U+002E,yes,yes
A,3,12-4-8,12+4+8,0x822,U+2311,yes,yes
A,4,11,11,0x400,U+002D,yes,yes
A,5,11-3-8,11+3+8,0x442,U+0024,yes,yes
A,6,11-4-8,11+4+8,0x422,U+002A,yes,yes
A,7,0-3-8,0+3+8,0x242,U+002C,yes,yes
A,8,0-4-8,0+4+8,0x222,U+0025,yes,yes
A,9,0-1,0+1,0x300,U+002F,yes,yes
A,10,3-8,3+8,0x042,U+0023,yes,yes
A,11,4-8,4+8,0x022,U+0040,yes,yes
B,1,12,12,0x800,U+002F,yes,yes
B,2,12-3-8,12+3+8,0x842,U+002E,yes,yes
B,3,12-4-8,12+4+8,0x822,U+2311,yes,yes
B,4,11,11,0x400,U+002D,yes,yes
B,5,11-3-8,11+3+8,0x442,U+0024,yes,yes
B,6,11-4-8,11+4+8,0x422,U+002A,yes,yes
B,7,0-3-8,0+3+8,0x242,U+002C,yes,yes
B,8,0-4-8,0+4+8,0x222,U+0025,yes,yes
B,9,0-1,0+1,0x300,U+0026,yes,yes
B,10,3-8,3+8,0x042,U+0023,yes,yes
B,11,4-8,4+8,0x022,U+0040,yes,yes
C,1,12,12,0x800,U+0026,yes,yes
C,2,12-3-8,12+3+8,0x842,U+002E,yes,yes
C,3,12-4-8,12+4+8,0x822,U+2311,yes,yes
C,4,11,11,0x400,U+002D,yes,yes
C,5,11-3-8,11+3+8,0x442,U+0024,yes,yes
C,6,11-4-8,11+4+8,0x422,U+002A,yes,yes
C,7,0-3-8,0+3+8,0x242,U+002C,yes,yes
C,8,0-4-8,0+4+8,0x222,U+0025,yes,yes
C,9,0-1,0+1,0x300,U+0030,no,yes
C,10,3-8,3+8,0x042,U+0023,yes,yes
C,11,4-8,4+8,0x022,U+0040,yes,yes
D,1,12,12,0x800,U+002D,yes,yes
D,2,12-3-8,12+3+8,0x842,U+002E,yes,yes
D,3,12-4-8,12+4+8,0x822,U+2311,yes,yes
D,4,11,11,0x400,U+002D,no,yes
D,5,11-3-8,11+3+8,0x442,U+0024,yes,yes
D,6,11-4-8,11+4+8,0x422,U+002A,yes,yes
D,7,0-3-8,0+3+8,0x242,U+002C,yes,yes
D,8,0-4-8,0+4+8,0x222,U+0025,yes,yes
D,9,0-1,0+1,0x300,U+002F,yes,yes
D,10,3-8,3+8,0x042,U+0023,yes,yes
D,11,4-8,4+8,0x022,U+0040,yes,yes
E,1,12,12,0x800,U+002D,yes,yes
E,2,12-3-8,12+3+8,0x842,U+002E,yes,yes
E,3,12-4-8,12+4+8,0x822,U+003C,yes,yes
E,4,11,11,0x400,U+002F,yes,yes
E,5,11-3-8,11+3+8,0x442,U+002E,no,yes
E,6,11-4-8,11+4+8,0x422,U+002A,yes,yes
E,7,0-3-8,0+3+8,0x242,U+002C,yes,yes
E,8,0-4-8,0+4+8,0x222,U+0025,yes,yes
E,9,0-1,0+1,0x300,U+0026,yes,yes
E,10,3-8,3+8,0x042,U+0023,yes,yes
E,11,4-8,4+8,0x022,U+003E,yes,yes
F,1,12,12,0x800,U+002B,yes,yes
F,2,12-3-8,12+3+8,0x842,U+002E,yes,yes
F,3,12-4-8,12+4+8,0x822,U+0029,yes,yes
F,4,11,11,0x400,U+002D,yes,yes
F,5,11-3-8,11+3+8,0x442,U+0024,yes,yes
F,6,11-4-8,11+4+8,0x422,U+002A,yes,yes
F,7,0-3-8,0+3+8,0x242,U+002C,yes,yes
F,8,0-4-8,0+4+8,0x222,U+0028,yes,yes
F,9,0-1,0+1,0x300,U+002F,yes,yes
F,10,3-8,3+8,0x042,U+003D,yes,yes
F,11,4-8,4+8,0x022,U+002D,no,yes
G,1,12,12,0x800,U+002B,yes,yes
G,2,12-3-8,12+3+8,0x842,U+002E,yes,yes
G,3,12-4-8,12+4+8,0x822,U+2311,yes,yes
G,4,11,11,0x400,U+002D,yes,yes
G,5,11-3-8,11+3+8,0x442,U+0024,yes,yes
G,6,11-4-8,11+4+8,0x422,U+002A,yes,yes
G,7,0-3-8,0+3+8,0x242,U+002C,yes,yes
G,8,0-4-8,0+4+8,0x222,U+0025,yes,yes
G,9,0-1,0+1,0x300,U+002F,yes,yes
G,10,3-8,3+8,0x042,U+002B,no,yes
G,11,4-8,4+8,0x022,U+002D,no,yes
H,1,12,12,0x800,U+002B,yes,yes
H,2,12-3-8,12+3+8,0x842,U+002E,yes,yes
H,3,12-4-8,12+4+8,0x822,U+0029,yes,yes
H,4,11,11,0x400,U+002D,yes,yes
H,5,11-3-8,11+3+8,0x442,U+0024,yes,yes
H,6,11-4-8,11+4+8,0x422,U+002A,yes,yes
H,7,0-3-8,0+3+8,0x242,U+002C,yes,yes
H,8,0-4-8,0+4+8,0x222,U+0028,yes,yes
H,9,0-1,0+1,0x300,U+002F,yes,yes
H,10,3-8,3+8,0x042,U+003D,yes,yes
H,11,4-8,4+8,0x022,U+2032,yes,yes
J,1,12,12,0x800,U+002B,yes,yes
J,2,12-3-8,12+3+8,0x842,U+002E,yes,yes
J,3,12-4-8,12+4+8,0x822,U+2311,yes,yes
J,4,11,11,0x400,U+002D,yes,yes
J,5,11-3-8,11+3+8,0x442,U+0024,yes,yes
J,6,11-4-8,11+4+8,0x422,U+002A,yes,yes
J,7,0-3-8,0+3+8,0x242,U+002C,yes,yes
J,8,0-4-8,0+4+8,0x222,U+0025,yes,yes
J,9,0-1,0+1,0x300,U+002F,yes,yes
J,10,3-8,3+8,0x042,U+0023,yes,yes
J,11,4-8,4+8,0x022,U+0040,yes,yes
K,1,12,12,0x800,U+002B,yes,yes
K,2,12-3-8,12+3+8,0x842,U+002E,yes,yes
K,3,12-4-8,12+4+8,0x822,U+0029,yes,yes
K,4,11,11,0x400,U+002D,yes,yes
K,5,11-3-8,11+3+8,0x442,U+0024,yes,yes
K,6,11-4-8,11+4+8,0x422,U+002A,yes,yes
K,7,0-3-8,0+3+8,0x242,U+002C,yes,yes
K,8,0-4-8,0+4+8,0x222,U+0028,yes,yes
K,9,0-1,0+1,0x300,U+002F,yes,yes
K,10,3-8,3+8,0x042,U+003D,yes,yes
K,11,4-8,4+8,0x022,U+0040,yes,yes
