# ISO-IR-169 normalized Unicode/PUA mapping.
# PUA formula: U+F0000 + (first-0x21)*94 + (second-0x21).
2121	0020
2122	F0001
2123	0021
2124	0025
2125	003F
2126	002E
2127	002C
2128	003A
2130	0030
2131	0031
2132	0032
2133	0033
2134	0034
2135	0035
2136	0036
2137	0037
2138	0038
2139	0039
2321	F00BC
2322	F00BD
2323	F00BE
2324	F00BF
2325	F00C0
2326	F00C1
2327	F00C2
2328	F00C3
2329	F00C4
232A	F00C5
232B	F00C6
232C	F00C7
232D	F00C8
232E	F00C9
232F	F00CA
2330	F00CB
2331	F00CC
2332	F00CD
2333	F00CE
3021	F0582
3022	F0583
3023	F0584
3024	F0585
3025	F0586
3026	F0587
3027	F0588
3028	F0589
3029	F058A
302A	F058B
302B	F058C
302C	F058D
302D	F058E
302E	F058F
302F	F0590
3030	F0591
3031	F0592
3032	F0593
3033	F0594
3034	F0595
3035	F0596
3036	F0597
3037	F0598
3038	F0599
3039	F059A
303A	F059B
303B	F059C
303C	F059D
303D	F059E
303E	F059F
303F	F05A0
3040	F05A1
3041	F05A2
3042	F05A3
3043	F05A4
3044	F05A5
3045	F05A6
3046	F05A7
3047	F05A8
3048	F05A9
3049	F05AA
304A	F05AB
304B	F05AC
304C	F05AD
304D	F05AE
304E	F05AF
304F	F05B0
3050	F05B1
3051	F05B2
3052	F05B3
3053	F05B4
3054	F05B5
3055	F05B6
3056	F05B7
3057	F05B8
3058	F05B9
3059	F05BA
305A	F05BB
305B	F05BC
305C	F05BD
305D	F05BE
305E	F05BF
305F	F05C0
3060	F05C1
3061	F05C2
3062	F05C3
3063	F05C4
3064	F05C5
3065	F05C6
3066	F05C7
3067	F05C8
3068	F05C9
3069	F05CA
306A	F05CB
306B	F05CC
306C	F05CD
306D	F05CE
306E	F05CF
306F	F05D0
3070	F05D1
3071	F05D2
3072	F05D3
3073	F05D4
3074	F05D5
3075	F05D6
3076	F05D7
3077	F05D8
3078	F05D9
3079	F05DA
307A	F05DB
307B	F05DC
307C	F05DD
307D	F05DE
307E	F05DF
3121	F05E0
3122	F05E1
3123	F05E2
3124	F05E3
3125	F05E4
3126	F05E5
3127	F05E6
3128	F05E7
3129	F05E8
312A	F05E9
312B	F05EA
312C	F05EB
312D	F05EC
312E	F05ED
312F	F05EE
3130	F05EF
3131	F05F0
3132	F05F1
3133	F05F2
3134	F05F3
3135	F05F4
3136	F05F5
3137	F05F6
3138	F05F7
3139	F05F8
313A	F05F9
313B	F05FA
313C	F05FB
313D	F05FC
313E	F05FD
313F	F05FE
3140	F05FF
3141	F0600
3142	F0601
3143	F0602
3144	F0603
3145	F0604
3146	F0605
3147	F0606
3148	F0607
3149	F0608
314A	F0609
314B	F060A
314C	F060B
314D	F060C
314E	F060D
314F	F060E
3150	F060F
3151	F0610
3152	F0611
3153	F0612
3154	F0613
3155	F0614
3156	F0615
3157	F0616
3158	F0617
3159	F0618
315A	F0619
315B	F061A
315C	F061B
315D	F061C
315E	F061D
315F	F061E
3160	F061F
3161	F0620
3162	F0621
3163	F0622
3164	F0623
3165	F0624
3166	F0625
3167	F0626
3168	F0627
3169	F0628
316A	F0629
316B	F062A
316C	F062B
316D	F062C
316E	F062D
316F	F062E
3170	F062F
3171	F0630
3172	F0631
3173	F0632
3174	F0633
3175	F0634
3176	F0635
3177	F0636
3178	F0637
3179	F0638
317A	F0639
317B	F063A
317C	F063B
317D	F063C
317E	F063D
3221	F063E
3222	F063F
3223	F0640
3224	F0641
3225	F0642
3226	F0643
3227	F0644
3228	F0645
3229	F0646
322A	F0647
322B	F0648
322C	F0649
322D	F064A
322E	F064B
322F	F064C
3230	F064D
3231	F064E
3232	F064F
3233	F0650
3234	F0651
3235	F0652
3236	F0653
3237	F0654
3238	F0655
3239	F0656
323A	F0657
323B	F0658
323C	F0659
323D	F065A
323E	F065B
323F	F065C
3240	F065D
3241	F065E
3242	F065F
3243	F0660
3244	F0661
3245	F0662
3246	F0663
3247	F0664
3248	F0665
3249	F0666
324A	F0667
324B	F0668
324C	F0669
324D	F066A
324E	F066B
324F	F066C
3250	F066D
3251	F066E
3252	F066F
3253	F0670
3254	F0671
3255	F0672
3256	F0673
3257	F0674
3258	F0675
3259	F0676
325A	F0677
325B	F0678
325C	F0679
325D	F067A
325E	F067B
325F	F067C
3260	F067D
3261	F067E
3262	F067F
3263	F0680
3264	F0681
3265	F0682
3266	F0683
3267	F0684
3268	F0685
3269	F0686
326A	F0687
326B	F0688
326C	F0689
326D	F068A
326E	F068B
326F	F068C
3270	F068D
3271	F068E
3272	F068F
3273	F0690
3274	F0691
3275	F0692
3276	F0693
3277	F0694
3278	F0695
3279	F0696
327A	F0697
327B	F0698
327C	F0699
327D	F069A
327E	F069B
3321	F069C
3322	F069D
3323	F069E
3324	F069F
3325	F06A0
3326	F06A1
3327	F06A2
3328	F06A3
3329	F06A4
332A	F06A5
332B	F06A6
332C	F06A7
332D	F06A8
332E	F06A9
332F	F06AA
3330	F06AB
3331	F06AC
3332	F06AD
3333	F06AE
3334	F06AF
3335	F06B0
3336	F06B1
3337	F06B2
3338	F06B3
3339	F06B4
333A	F06B5
