byte_hex,unicode_sequence,status
00,0000,assigned
01,0001,assigned
02,0002,assigned
03,0003,assigned
04,0004,assigned
05,0005,assigned
06,0006,assigned
07,0007,assigned
08,0008,assigned
09,0009,assigned
0A,000A,assigned
0B,000B,assigned
0C,000C,assigned
0D,000D,assigned
0E,000E,assigned
0F,000F,assigned
10,0010,assigned
11,0011,assigned
12,0012,assigned
13,0013,assigned
14,0014,assigned
15,0015,assigned
16,0016,assigned
17,0017,assigned
18,0018,assigned
19,0019,assigned
1A,001A,assigned
1B,001B,assigned
1C,001C,assigned
1D,001D,assigned
1E,001E,assigned
1F,001F,assigned
20,0020,assigned
21,0021,assigned
22,0022,assigned
23,0023,assigned
24,0024,assigned
25,0025,assigned
26,0026,assigned
27,0027,assigned
28,0028,assigned
29,0029,assigned
2A,002A,assigned
2B,002B,assigned
2C,002C,assigned
2D,002D,assigned
2E,002E,assigned
2F,002F,assigned
30,0030,assigned
31,0031,assigned
32,0032,assigned
33,0033,assigned
34,0034,assigned
35,0035,assigned
36,0036,assigned
37,0037,assigned
38,0038,assigned
39,0039,assigned
3A,003A,assigned
3B,003B,assigned
3C,003C,assigned
3D,003D,assigned
3E,003E,assigned
3F,003F,assigned
40,0040,assigned
41,0041,assigned
42,0042,assigned
43,0043,assigned
44,0044,assigned
45,0045,assigned
46,0046,assigned
47,0047,assigned
48,0048,assigned
49,0049,assigned
4A,004A,assigned
4B,004B,assigned
4C,004C,assigned
4D,004D,assigned
4E,004E,assigned
4F,004F,assigned
50,0050,assigned
51,0051,assigned
52,0052,assigned
53,0053,assigned
54,0054,assigned
55,0055,assigned
56,0056,assigned
57,0057,assigned
58,0058,assigned
59,0059,assigned
5A,005A,assigned
5B,005B,assigned
5C,005C,assigned
5D,005D,assigned
5E,005E,assigned
5F,005F,assigned
60,0060,assigned
61,0061,assigned
62,0062,assigned
63,0063,assigned
64,0064,assigned
65,0065,assigned
66,0066,assigned
67,0067,assigned
68,0068,assigned
69,0069,assigned
6A,006A,assigned
6B,006B,assigned
6C,006C,assigned
6D,006D,assigned
6E,006E,assigned
6F,006F,assigned
70,0070,assigned
71,0071,assigned
72,0072,assigned
73,0073,assigned
74,0074,assigned
75,0075,assigned
76,0076,assigned
77,0077,assigned
78,0078,assigned
79,0079,assigned
7A,007A,assigned
7B,007B,assigned
7C,007C,assigned
7D,007D,assigned
7E,007E,assigned
7F,007F,assigned
80,,reserved_control
81,,reserved_control
82,,reserved_control
83,,reserved_control
84,,reserved_control
85,,reserved_control
86,,reserved_control
87,,reserved_control
88,,reserved_control
89,,reserved_control
8A,,reserved_control
8B,,reserved_control
8C,,reserved_control
8D,,reserved_control
8E,,reserved_control
8F,,reserved_control
90,,reserved_control
91,,reserved_control
92,,reserved_control
93,,reserved_control
94,,reserved_control
95,,reserved_control
96,,reserved_control
97,,reserved_control
98,,reserved_control
99,,reserved_control
9A,,reserved_control
9B,,reserved_control
9C,,reserved_control
9D,,reserved_control
9E,,reserved_control
9F,,reserved_control
A0,00A0,assigned
A1,0104+0303,assigned
A2,0118+0301,assigned
A3,0118+0303,assigned
A4,0069+0307+0303,assigned
A5,004C+0303,assigned
A6,004D+0303,assigned
A7,006D+0303,assigned
A8,0116+0301,assigned
A9,00D1,assigned
AA,0116+0303,assigned
AB,0052+0303,assigned
AC,0172+0301,assigned
AD,00AD,assigned
AE,016A+0303,assigned
AF,016A+0301,assigned
B0,0128,assigned
B1,0105+0303,assigned
B2,0119+0301,assigned
B3,0119+0303,assigned
B4,00B4,assigned
B5,006C+0303,assigned
B6,00B6,assigned
B7,006A+0307+0303,assigned
B8,0117+0301,assigned
B9,00F1,assigned
BA,0117+0303,assigned
BB,0072+0303,assigned
BC,0173+0301,assigned
BD,0172+0303,assigned
BE,016B+0303,assigned
BF,016B+0301,assigned
C0,0104,assigned
C1,012E,assigned
C2,00C0,assigned
C3,00C1,assigned
C4,00C4,assigned
C5,00C3,assigned
C6,0118,assigned
C7,0104+0301,assigned
C8,010C,assigned
C9,00C9,assigned
CA,00C8,assigned
CB,0116,assigned
CC,1EBC,assigned
CD,00CC,assigned
CE,00CD,assigned
CF,012E+0301,assigned
D0,0160,assigned
D1,012E+0303,assigned
D2,00D2,assigned
D3,00D3,assigned
D4,00DD,assigned
D5,00D5,assigned
D6,00D6,assigned
D7,0168,assigned
D8,0172,assigned
D9,00D9,assigned
DA,00DA,assigned
DB,016A,assigned
DC,00DC,assigned
DD,1EF8,assigned
DE,017D,assigned
DF,00DF,assigned
E0,0105,assigned
E1,012F,assigned
E2,00E0,assigned
E3,00E1,assigned
E4,00E4,assigned
E5,00E3,assigned
E6,0119,assigned
E7,0105+0301,assigned
E8,010D,assigned
E9,00E9,assigned
EA,00E8,assigned
EB,0117,assigned
EC,1EBD,assigned
ED,0069+0307+0300,assigned
EE,0069+0307+0301,assigned
EF,012F+0307+0301,assigned
F0,0161,assigned
F1,012F+0307+0303,assigned
F2,00F2,assigned
F3,00F3,assigned
F4,00FD,assigned
F5,00F5,assigned
F6,00F6,assigned
F7,0169,assigned
F8,0173,assigned
F9,00F9,assigned
FA,00FA,assigned
FB,016B,assigned
FC,00FC,assigned
FD,1EF9,assigned
FE,017E,assigned
FF,0173+0303,assigned
