byte_hex,unicode_sequence,status
00,0000,assigned
01,0001,assigned
02,0002,assigned
03,0003,assigned
04,0004,assigned
05,0005,assigned
06,0006,assigned
07,0007,assigned
08,0008,assigned
09,0009,assigned
0A,000A,assigned
0B,000B,assigned
0C,000C,assigned
0D,000D,assigned
0E,000E,assigned
0F,000F,assigned
10,0010,assigned
11,0011,assigned
12,0012,assigned
13,0013,assigned
14,0014,assigned
15,0015,assigned
16,0016,assigned
17,0017,assigned
18,0018,assigned
19,0019,assigned
1A,001A,assigned
1B,001B,assigned
1C,001C,assigned
1D,001D,assigned
1E,001E,assigned
1F,001F,assigned
20,0020,assigned
21,0021,assigned
22,0022,assigned
23,0023,assigned
24,0024,assigned
25,0025,assigned
26,0026,assigned
27,0027,assigned
28,0028,assigned
29,0029,assigned
2A,002A,assigned
2B,002B,assigned
2C,002C,assigned
2D,002D,assigned
2E,002E,assigned
2F,002F,assigned
30,0030,assigned
31,0031,assigned
32,0032,assigned
33,0033,assigned
34,0034,assigned
35,0035,assigned
36,0036,assigned
37,0037,assigned
38,0038,assigned
39,0039,assigned
3A,003A,assigned
3B,003B,assigned
3C,003C,assigned
3D,003D,assigned
3E,003E,assigned
3F,003F,assigned
40,0040,assigned
41,0041,assigned
42,0042,assigned
43,0043,assigned
44,0044,assigned
45,0045,assigned
46,0046,assigned
47,0047,assigned
48,0048,assigned
49,0049,assigned
4A,004A,assigned
4B,004B,assigned
4C,004C,assigned
4D,004D,assigned
4E,004E,assigned
4F,004F,assigned
50,0050,assigned
51,0051,assigned
52,0052,assigned
53,0053,assigned
54,0054,assigned
55,0055,assigned
56,0056,assigned
57,0057,assigned
58,0058,assigned
59,0059,assigned
5A,005A,assigned
5B,005B,assigned
5C,005C,assigned
5D,005D,assigned
5E,005E,assigned
5F,005F,assigned
60,0060,assigned
61,0061,assigned
62,0062,assigned
63,0063,assigned
64,0064,assigned
65,0065,assigned
66,0066,assigned
67,0067,assigned
68,0068,assigned
69,0069,assigned
6A,006A,assigned
6B,006B,assigned
6C,006C,assigned
6D,006D,assigned
6E,006E,assigned
6F,006F,assigned
70,0070,assigned
71,0071,assigned
72,0072,assigned
73,0073,assigned
74,0074,assigned
75,0075,assigned
76,0076,assigned
77,0077,assigned
78,0078,assigned
79,0079,assigned
7A,007A,assigned
7B,007B,assigned
7C,007C,assigned
7D,007D,assigned
7E,007E,assigned
7F,007F,assigned
80,00C1,assigned
81,00FC,assigned
82,00E9,assigned
83,00E0,assigned
84,00E4,assigned
85,1EBD,assigned
86,00E3,assigned
87,00E1,assigned
88,00F9,assigned
89,0105+0301,assigned
8A,0116+0303,assigned
8B,0117+0303,assigned
8C,0069+0307+0301,assigned
8D,00C8,assigned
8E,00C4,assigned
8F,00C3,assigned
90,00C9,assigned
91,016B+0301,assigned
92,016A+0301,assigned
93,00FD,assigned
94,00F6,assigned
95,1EBC,assigned
96,0118+0301,assigned
97,00DA,assigned
98,00FA,assigned
99,00D6,assigned
9A,00DC,assigned
9B,0117+0301,assigned
9C,0118+0303,assigned
9D,0116+0301,assigned
9E,0168,assigned
9F,0069+0307+0303,assigned
A0,00C0,assigned
A1,00CD,assigned
A2,00F3,assigned
A3,1EF8,assigned
A4,1EF9,assigned
A5,00E8,assigned
A6,004C+0303,assigned
A7,004D+0303,assigned
A8,00D1,assigned
A9,016A+0303,assigned
AA,0172+0301,assigned
AB,0172+0303,assigned
AC,0173+0301,assigned
AD,00D9,assigned
AE,0052+0303,assigned
AF,0072+0303,assigned
B0,2591,assigned
B1,2592,assigned
B2,2593,assigned
B3,2502,assigned
B4,0251,assigned
B5,0104,assigned
B6,010C,assigned
B7,0118,assigned
B8,0116,assigned
B9,0254,assigned
BA,2551,assigned
BB,2557,assigned
BC,255D,assigned
BD,012E,assigned
BE,0160,assigned
BF,2510,assigned
C0,2514,assigned
C1,0259,assigned
C2,025B,assigned
C3,0261,assigned
C4,2500,assigned
C5,026A,assigned
C6,0172,assigned
C7,016A,assigned
C8,255A,assigned
C9,2554,assigned
CA,014B,assigned
CB,03B8,assigned
CC,0283,assigned
CD,2550,assigned
CE,028A,assigned
CF,017D,assigned
D0,0105,assigned
D1,010D,assigned
D2,0119,assigned
D3,0117,assigned
D4,012F,assigned
D5,0161,assigned
D6,0173,assigned
D7,016B,assigned
D8,017E,assigned
D9,2518,assigned
DA,250C,assigned
DB,00B4,assigned
DC,028C,assigned
DD,0292,assigned
DE,02C8,assigned
DF,02CC,assigned
E0,00D3,assigned
E1,00DF,assigned
E2,00DD,assigned
E3,012E+0303,assigned
E4,00F5,assigned
E5,00D5,assigned
E6,006C+0303,assigned
E7,012F+0307+0303,assigned
E8,00CC,assigned
E9,0069+0307+0300,assigned
EA,012E+0301,assigned
EB,012F+0307+0301,assigned
EC,00F2,assigned
ED,0104+0301,assigned
EE,00D2,assigned
EF,0173+0303,assigned
F0,00AD,assigned
F1,0105+0303,assigned
F2,201C,assigned
F3,016B+0303,assigned
F4,0104+0303,assigned
F5,006D+0303,assigned
F6,0169,assigned
F7,201E,assigned
F8,0128,assigned
F9,00E6,assigned
FA,00F0,assigned
FB,00F1,assigned
FC,0119+0303,assigned
FD,0119+0301,assigned
FE,006A+0307+0303,assigned
FF,00A0,assigned
