byte_hex,unicode_hex,status,provenance
00,0000,mapped,hp_1991_control
01,0001,mapped,hp_1991_control
02,0002,mapped,hp_1991_control
03,0003,mapped,hp_1991_control
04,0004,mapped,hp_1991_control
05,0005,mapped,hp_1991_control
06,0006,mapped,hp_1991_control
07,0007,mapped,hp_1991_control
08,0008,mapped,hp_1991_control
09,0009,mapped,hp_1991_control
0A,000A,mapped,hp_1991_control
0B,000B,mapped,hp_1991_control
0C,000C,mapped,hp_1991_control
0D,000D,mapped,hp_1991_control
0E,000E,mapped,hp_1991_control
0F,000F,mapped,hp_1991_control
10,0010,mapped,hp_1991_control
11,0011,mapped,hp_1991_control
12,0012,mapped,hp_1991_control
13,0013,mapped,hp_1991_control
14,0014,mapped,hp_1991_control
15,0015,mapped,hp_1991_control
16,0016,mapped,hp_1991_control
17,0017,mapped,hp_1991_control
18,0018,mapped,hp_1991_control
19,0019,mapped,hp_1991_control
1A,001A,mapped,hp_1991_control
1B,001B,mapped,hp_1991_control
1C,001C,mapped,hp_1991_control
1D,001D,mapped,hp_1991_control
1E,001E,mapped,hp_1991_control
1F,001F,mapped,hp_1991_control
20,0020,mapped,hp_1991_ascii
21,0021,mapped,hp_1991_ascii
22,0022,mapped,hp_1991_ascii
23,0023,mapped,hp_1991_ascii
24,0024,mapped,hp_1991_ascii
25,0025,mapped,hp_1991_ascii
26,0026,mapped,hp_1991_ascii
27,0027,mapped,hp_1991_ascii
28,0028,mapped,hp_1991_ascii
29,0029,mapped,hp_1991_ascii
2A,002A,mapped,hp_1991_ascii
2B,002B,mapped,hp_1991_ascii
2C,002C,mapped,hp_1991_ascii
2D,002D,mapped,hp_1991_ascii
2E,002E,mapped,hp_1991_ascii
2F,002F,mapped,hp_1991_ascii
30,0030,mapped,hp_1991_ascii
31,0031,mapped,hp_1991_ascii
32,0032,mapped,hp_1991_ascii
33,0033,mapped,hp_1991_ascii
34,0034,mapped,hp_1991_ascii
35,0035,mapped,hp_1991_ascii
36,0036,mapped,hp_1991_ascii
37,0037,mapped,hp_1991_ascii
38,0038,mapped,hp_1991_ascii
39,0039,mapped,hp_1991_ascii
3A,003A,mapped,hp_1991_ascii
3B,003B,mapped,hp_1991_ascii
3C,003C,mapped,hp_1991_ascii
3D,003D,mapped,hp_1991_ascii
3E,003E,mapped,hp_1991_ascii
3F,003F,mapped,hp_1991_ascii
40,0040,mapped,hp_1991_ascii
41,0041,mapped,hp_1991_ascii
42,0042,mapped,hp_1991_ascii
43,0043,mapped,hp_1991_ascii
44,0044,mapped,hp_1991_ascii
45,0045,mapped,hp_1991_ascii
46,0046,mapped,hp_1991_ascii
47,0047,mapped,hp_1991_ascii
48,0048,mapped,hp_1991_ascii
49,0049,mapped,hp_1991_ascii
4A,004A,mapped,hp_1991_ascii
4B,004B,mapped,hp_1991_ascii
4C,004C,mapped,hp_1991_ascii
4D,004D,mapped,hp_1991_ascii
4E,004E,mapped,hp_1991_ascii
4F,004F,mapped,hp_1991_ascii
50,0050,mapped,hp_1991_ascii
51,0051,mapped,hp_1991_ascii
52,0052,mapped,hp_1991_ascii
53,0053,mapped,hp_1991_ascii
54,0054,mapped,hp_1991_ascii
55,0055,mapped,hp_1991_ascii
56,0056,mapped,hp_1991_ascii
57,0057,mapped,hp_1991_ascii
58,0058,mapped,hp_1991_ascii
59,0059,mapped,hp_1991_ascii
5A,005A,mapped,hp_1991_ascii
5B,005B,mapped,hp_1991_ascii
5C,005C,mapped,hp_1991_ascii
5D,005D,mapped,hp_1991_ascii
5E,005E,mapped,hp_1991_ascii
5F,005F,mapped,hp_1991_ascii
60,0060,mapped,hp_1991_ascii
61,0061,mapped,hp_1991_ascii
62,0062,mapped,hp_1991_ascii
63,0063,mapped,hp_1991_ascii
64,0064,mapped,hp_1991_ascii
65,0065,mapped,hp_1991_ascii
66,0066,mapped,hp_1991_ascii
67,0067,mapped,hp_1991_ascii
68,0068,mapped,hp_1991_ascii
69,0069,mapped,hp_1991_ascii
6A,006A,mapped,hp_1991_ascii
6B,006B,mapped,hp_1991_ascii
6C,006C,mapped,hp_1991_ascii
6D,006D,mapped,hp_1991_ascii
6E,006E,mapped,hp_1991_ascii
6F,006F,mapped,hp_1991_ascii
70,0070,mapped,hp_1991_ascii
71,0071,mapped,hp_1991_ascii
72,0072,mapped,hp_1991_ascii
73,0073,mapped,hp_1991_ascii
74,0074,mapped,hp_1991_ascii
75,0075,mapped,hp_1991_ascii
76,0076,mapped,hp_1991_ascii
77,0077,mapped,hp_1991_ascii
78,0078,mapped,hp_1991_ascii
