byte_hex,unicode_hex,provenance
00,0000,transport_identity
01,0001,transport_identity
02,0002,transport_identity
03,0003,transport_identity
04,0004,transport_identity
05,0005,transport_identity
06,0006,transport_identity
07,0007,transport_identity
08,0008,transport_identity
09,0009,transport_identity
0A,000A,transport_identity
0B,000B,transport_identity
0C,000C,transport_identity
0D,000D,transport_identity
0E,000E,transport_identity
0F,000F,transport_identity
10,0010,transport_identity
11,0011,transport_identity
12,0012,transport_identity
13,0013,transport_identity
14,0014,transport_identity
15,0015,transport_identity
16,0016,transport_identity
17,0017,transport_identity
18,0018,transport_identity
19,0019,transport_identity
1A,001A,transport_identity
1B,001B,transport_identity
1C,001C,transport_identity
1D,001D,transport_identity
1E,001E,transport_identity
1F,001F,transport_identity
20,0020,source_identity
21,0021,source_identity
22,0022,source_identity
23,0023,source_identity
24,0024,source_identity
25,0025,source_identity
26,0026,source_identity
27,0027,source_identity
28,0028,source_identity
29,0029,source_identity
2A,002A,source_identity
2B,002B,source_identity
2C,002C,source_identity
2D,002D,source_identity
2E,002E,source_identity
2F,002F,source_identity
30,0030,source_identity
31,0031,source_identity
32,0032,source_identity
33,0033,source_identity
34,0034,source_identity
35,0035,source_identity
36,0036,source_identity
37,0037,source_identity
38,0038,source_identity
39,0039,source_identity
3A,003A,source_identity
3B,003B,source_identity
3C,003C,source_identity
3D,003D,source_identity
3E,003E,source_identity
3F,003F,source_identity
40,0040,source_identity
41,0041,source_identity
42,0042,source_identity
43,0043,source_identity
44,0044,source_identity
45,0045,source_identity
46,0046,source_identity
47,0047,source_identity
48,0048,source_identity
49,0049,source_identity
4A,004A,source_identity
4B,004B,source_identity
4C,004C,source_identity
4D,004D,source_identity
4E,004E,source_identity
4F,004F,source_identity
50,0050,source_identity
51,0051,source_identity
52,0052,source_identity
53,0053,source_identity
54,0054,source_identity
55,0055,source_identity
56,0056,source_identity
57,0057,source_identity
58,0058,source_identity
59,0059,source_identity
5A,005A,source_identity
5B,005B,source_identity
5C,005C,source_identity
5D,005D,source_identity
5E,005E,source_identity
5F,005F,source_identity
60,0060,source_identity
61,0061,source_identity
62,0062,source_identity
63,0063,source_identity
64,0064,source_identity
65,0065,source_identity
66,0066,source_identity
67,0067,source_identity
68,0068,source_identity
69,0069,source_identity
6A,006A,source_identity
6B,006B,source_identity
6C,006C,source_identity
6D,006D,source_identity
6E,006E,source_identity
6F,006F,source_identity
70,0070,source_identity
71,0071,source_identity
72,0072,source_identity
73,0073,source_identity
74,0074,source_identity
75,0075,source_identity
76,0076,source_identity
77,0077,source_identity
78,0078,source_identity
79,0079,source_identity
7A,007A,source_identity
7B,007B,source_identity
7C,007C,source_identity
7D,007D,source_identity
7E,007E,source_identity
7F,007F,transport_identity
80,00C4,source_mapping
81,00C5,source_mapping
82,00C7,source_mapping
83,00C9,source_mapping
84,00D1,source_mapping
85,00D6,source_mapping
86,00DC,source_mapping
87,00E1,source_mapping
88,00E0,source_mapping
89,00E2,source_mapping
8A,00E4,source_mapping
8B,00E3,source_mapping
8C,00E5,source_mapping
