byte_hex,status,urdu_kashmiri_best_fit,sindhi_best_fit,lossless_vpua_1,raw_vpua_1,provenance
00,ascii,0000,0000,0000,F8D00,ascii_identity
01,ascii,0001,0001,0001,F8D01,ascii_identity
02,ascii,0002,0002,0002,F8D02,ascii_identity
03,ascii,0003,0003,0003,F8D03,ascii_identity
04,ascii,0004,0004,0004,F8D04,ascii_identity
05,ascii,0005,0005,0005,F8D05,ascii_identity
06,ascii,0006,0006,0006,F8D06,ascii_identity
07,ascii,0007,0007,0007,F8D07,ascii_identity
08,ascii,0008,0008,0008,F8D08,ascii_identity
09,ascii,0009,0009,0009,F8D09,ascii_identity
0A,ascii,000A,000A,000A,F8D0A,ascii_identity
0B,ascii,000B,000B,000B,F8D0B,ascii_identity
0C,ascii,000C,000C,000C,F8D0C,ascii_identity
0D,ascii,000D,000D,000D,F8D0D,ascii_identity
0E,ascii,000E,000E,000E,F8D0E,ascii_identity
0F,ascii,000F,000F,000F,F8D0F,ascii_identity
10,ascii,0010,0010,0010,F8D10,ascii_identity
11,ascii,0011,0011,0011,F8D11,ascii_identity
12,ascii,0012,0012,0012,F8D12,ascii_identity
13,ascii,0013,0013,0013,F8D13,ascii_identity
14,ascii,0014,0014,0014,F8D14,ascii_identity
15,ascii,0015,0015,0015,F8D15,ascii_identity
16,ascii,0016,0016,0016,F8D16,ascii_identity
17,ascii,0017,0017,0017,F8D17,ascii_identity
18,ascii,0018,0018,0018,F8D18,ascii_identity
19,ascii,0019,0019,0019,F8D19,ascii_identity
1A,ascii,001A,001A,001A,F8D1A,ascii_identity
1B,ascii,001B,001B,001B,F8D1B,ascii_identity
1C,ascii,001C,001C,001C,F8D1C,ascii_identity
1D,ascii,001D,001D,001D,F8D1D,ascii_identity
1E,ascii,001E,001E,001E,F8D1E,ascii_identity
1F,ascii,001F,001F,001F,F8D1F,ascii_identity
20,ascii,0020,0020,0020,F8D20,ascii_identity
21,ascii,0021,0021,0021,F8D21,ascii_identity
22,ascii,0022,0022,0022,F8D22,ascii_identity
23,ascii,0023,0023,0023,F8D23,ascii_identity
24,ascii,0024,0024,0024,F8D24,ascii_identity
25,ascii,0025,0025,0025,F8D25,ascii_identity
26,ascii,0026,0026,0026,F8D26,ascii_identity
27,ascii,0027,0027,0027,F8D27,ascii_identity
28,ascii,0028,0028,0028,F8D28,ascii_identity
29,ascii,0029,0029,0029,F8D29,ascii_identity
2A,ascii,002A,002A,002A,F8D2A,ascii_identity
2B,ascii,002B,002B,002B,F8D2B,ascii_identity
2C,ascii,002C,002C,002C,F8D2C,ascii_identity
2D,ascii,002D,002D,002D,F8D2D,ascii_identity
2E,ascii,002E,002E,002E,F8D2E,ascii_identity
2F,ascii,002F,002F,002F,F8D2F,ascii_identity
30,ascii,0030,0030,0030,F8D30,ascii_identity
31,ascii,0031,0031,0031,F8D31,ascii_identity
32,ascii,0032,0032,0032,F8D32,ascii_identity
33,ascii,0033,0033,0033,F8D33,ascii_identity
34,ascii,0034,0034,0034,F8D34,ascii_identity
35,ascii,0035,0035,0035,F8D35,ascii_identity
36,ascii,0036,0036,0036,F8D36,ascii_identity
37,ascii,0037,0037,0037,F8D37,ascii_identity
38,ascii,0038,0038,0038,F8D38,ascii_identity
39,ascii,0039,0039,0039,F8D39,ascii_identity
3A,ascii,003A,003A,003A,F8D3A,ascii_identity
3B,ascii,003B,003B,003B,F8D3B,ascii_identity
3C,ascii,003C,003C,003C,F8D3C,ascii_identity
3D,ascii,003D,003D,003D,F8D3D,ascii_identity
3E,ascii,003E,003E,003E,F8D3E,ascii_identity
3F,ascii,003F,003F,003F,F8D3F,ascii_identity
40,ascii,0040,0040,0040,F8D40,ascii_identity
41,ascii,0041,0041,0041,F8D41,ascii_identity
42,ascii,0042,0042,0042,F8D42,ascii_identity
43,ascii,0043,0043,0043,F8D43,ascii_identity
44,ascii,0044,0044,0044,F8D44,ascii_identity
45,ascii,0045,0045,0045,F8D45,ascii_identity
46,ascii,0046,0046,0046,F8D46,ascii_identity
47,ascii,0047,0047,0047,F8D47,ascii_identity
48,ascii,0048,0048,0048,F8D48,ascii_identity
49,ascii,0049,0049,0049,F8D49,ascii_identity
4A,ascii,004A,004A,004A,F8D4A,ascii_identity
4B,ascii,004B,004B,004B,F8D4B,ascii_identity
4C,ascii,004C,004C,004C,F8D4C,ascii_identity
4D,ascii,004D,004D,004D,F8D4D,ascii_identity
4E,ascii,004E,004E,004E,F8D4E,ascii_identity
4F,ascii,004F,004F,004F,F8D4F,ascii_identity
50,ascii,0050,0050,0050,F8D50,ascii_identity
51,ascii,0051,0051,0051,F8D51,ascii_identity
52,ascii,0052,0052,0052,F8D52,ascii_identity
53,ascii,0053,0053,0053,F8D53,ascii_identity
54,ascii,0054,0054,0054,F8D54,ascii_identity
55,ascii,0055,0055,0055,F8D55,ascii_identity
56,ascii,0056,0056,0056,F8D56,ascii_identity
57,ascii,0057,0057,0057,F8D57,ascii_identity
58,ascii,0058,0058,0058,F8D58,ascii_identity
59,ascii,0059,0059,0059,F8D59,ascii_identity
5A,ascii,005A,005A,005A,F8D5A,ascii_identity
5B,ascii,005B,005B,005B,F8D5B,ascii_identity
5C,ascii,005C,005C,005C,F8D5C,ascii_identity
5D,ascii,005D,005D,005D,F8D5D,ascii_identity
5E,ascii,005E,005E,005E,F8D5E,ascii_identity
5F,ascii,005F,005F,005F,F8D5F,ascii_identity
60,ascii,0060,0060,0060,F8D60,ascii_identity
61,ascii,0061,0061,0061,F8D61,ascii_identity
