source_column,codepoint,mask,disposition
0,U+0020,0x000,canonical
1,U+002B,0x800,canonical
2,U+002D,0x400,canonical
3,U+0030,0x200,canonical
4,U+0031,0x100,canonical
5,U+0032,0x080,canonical
6,U+0033,0x040,canonical
7,U+0034,0x020,canonical
8,U+0035,0x010,canonical
9,U+0036,0x008,canonical
10,U+0037,0x004,canonical
11,U+0038,0x002,canonical
12,U+0039,0x001,canonical
13,U+0041,0x900,canonical
14,U+0042,0x880,canonical
15,U+0043,0x840,canonical
16,U+0044,0x820,canonical
17,U+0045,0x810,canonical
18,U+0046,0x808,canonical
19,U+0047,0x804,canonical
20,U+0048,0x802,canonical
21,U+0049,0x801,canonical
22,U+004A,0x500,canonical
23,U+004B,0x480,canonical
24,U+004C,0x440,canonical
25,U+004D,0x420,canonical
26,U+004E,0x410,canonical
27,U+004F,0x408,canonical
28,U+0050,0x404,canonical
29,U+0051,0x402,canonical
30,U+0052,0x401,canonical
31,U+002F,0x300,canonical
32,U+0053,0x280,canonical
33,U+0054,0x240,canonical
34,U+0055,0x220,canonical
35,U+0056,0x210,canonical
36,U+0057,0x208,canonical
37,U+0058,0x204,canonical
38,U+0059,0x202,canonical
39,U+005A,0x201,canonical
40,U+005F,0x082,canonical
41,U+003D,0x042,canonical
42,U+0040,0x022,canonical
43,U+005E,0x012,canonical
44,U+0027,0x00A,canonical
45,U+005C,0x006,canonical
46,U+003F,0x882,canonical
47,U+002E,0x842,canonical
48,U+0029,0x822,canonical
49,U+005D,0x812,canonical
50,U+003C,0x80A,canonical
51,U+0021,0x806,canonical
52,U+003A,0x482,canonical
53,U+0024,0x442,canonical
54,U+002A,0x422,canonical
55,U+005B,0x412,canonical
56,U+003E,0x40A,canonical
57,U+0026,0x406,canonical
58,U+003B,0x282,canonical
59,U+002C,0x242,canonical
60,U+0028,0x222,canonical
61,U+0022,0x212,canonical
62,U+0023,0x20A,canonical
63,U+0025,0x206,canonical
