octal_byte,format_effector,hidden_graphic,description
000,U+0000,U+00B7,RFC698-OCTAL-000
001,U+2193,U+2193,RFC698-OCTAL-001
002,U+03B1,U+03B1,RFC698-OCTAL-002
003,U+03B2,U+03B2,RFC698-OCTAL-003
004,U+2227,U+2227,RFC698-OCTAL-004
005,U+00AC,U+00AC,RFC698-OCTAL-005
006,U+03B5,U+03B5,RFC698-OCTAL-006
007,U+03C0,U+03C0,RFC698-OCTAL-007
010,U+03BB,U+03BB,RFC698-OCTAL-010
011,U+0009,U+03B3,RFC698-OCTAL-011
012,U+000A,U+03B4,RFC698-OCTAL-012
013,U+000B,U+222B,RFC698-OCTAL-013
014,U+000C,U+00B1,RFC698-OCTAL-014
015,U+000D,U+2295,RFC698-OCTAL-015
016,U+221E,U+221E,RFC698-OCTAL-016
017,U+2202,U+2202,RFC698-OCTAL-017
020,U+2282,U+2282,RFC698-OCTAL-020
021,U+2283,U+2283,RFC698-OCTAL-021
022,U+2229,U+2229,RFC698-OCTAL-022
023,U+222A,U+222A,RFC698-OCTAL-023
024,U+2200,U+2200,RFC698-OCTAL-024
025,U+2203,U+2203,RFC698-OCTAL-025
026,U+2297,U+2297,RFC698-OCTAL-026
027,U+2194,U+2194,RFC698-OCTAL-027
030,U+005F,U+005F,RFC698-OCTAL-030
031,U+2192,U+2192,RFC698-OCTAL-031
032,U+007E,U+007E,RFC698-OCTAL-032
033,U+2260,U+2260,RFC698-OCTAL-033
034,U+2264,U+2264,RFC698-OCTAL-034
035,U+2265,U+2265,RFC698-OCTAL-035
036,U+2261,U+2261,RFC698-OCTAL-036
037,U+2228,U+2228,RFC698-OCTAL-037
040,U+0020,U+0020,RFC698-OCTAL-040
041,U+0021,U+0021,RFC698-OCTAL-041
042,U+0022,U+0022,RFC698-OCTAL-042
043,U+0023,U+0023,RFC698-OCTAL-043
044,U+0024,U+0024,RFC698-OCTAL-044
045,U+0025,U+0025,RFC698-OCTAL-045
046,U+0026,U+0026,RFC698-OCTAL-046
047,U+0027,U+0027,RFC698-OCTAL-047
050,U+0028,U+0028,RFC698-OCTAL-050
051,U+0029,U+0029,RFC698-OCTAL-051
052,U+002A,U+002A,RFC698-OCTAL-052
053,U+002B,U+002B,RFC698-OCTAL-053
054,U+002C,U+002C,RFC698-OCTAL-054
055,U+002D,U+002D,RFC698-OCTAL-055
056,U+002E,U+002E,RFC698-OCTAL-056
057,U+002F,U+002F,RFC698-OCTAL-057
060,U+0030,U+0030,RFC698-OCTAL-060
