byte_hex,unicode_sequence,status
00,0000,assigned
01,0001,assigned
02,0002,assigned
03,0003,assigned
04,0004,assigned
05,0005,assigned
06,0006,assigned
07,0007,assigned
08,0008,assigned
09,0009,assigned
0A,000A,assigned
0B,000B,assigned
0C,000C,assigned
0D,000D,assigned
0E,000E,assigned
0F,000F,assigned
10,0010,assigned
11,0011,assigned
12,0012,assigned
13,0013,assigned
14,0014,assigned
15,0015,assigned
16,0016,assigned
17,0017,assigned
18,0018,assigned
19,0019,assigned
1A,001A,assigned
1B,001B,assigned
1C,001C,assigned
1D,001D,assigned
1E,001E,assigned
1F,001F,assigned
20,0020,assigned
21,0021,assigned
22,0022,assigned
23,0023,assigned
24,0024,assigned
25,0025,assigned
26,0026,assigned
27,0027,assigned
28,0028,assigned
29,0029,assigned
2A,002A,assigned
2B,002B,assigned
2C,002C,assigned
2D,002D,assigned
2E,002E,assigned
2F,002F,assigned
30,0030,assigned
31,0031,assigned
32,0032,assigned
33,0033,assigned
34,0034,assigned
35,0035,assigned
36,0036,assigned
37,0037,assigned
38,0038,assigned
39,0039,assigned
3A,003A,assigned
3B,003B,assigned
3C,003C,assigned
3D,003D,assigned
3E,003E,assigned
3F,003F,assigned
40,0040,assigned
41,0041,assigned
42,0042,assigned
43,0043,assigned
44,0044,assigned
45,0045,assigned
46,0046,assigned
47,0047,assigned
48,0048,assigned
49,0049,assigned
4A,004A,assigned
4B,004B,assigned
4C,004C,assigned
4D,004D,assigned
4E,004E,assigned
4F,004F,assigned
50,0050,assigned
51,0051,assigned
52,0052,assigned
53,0053,assigned
54,0054,assigned
55,0055,assigned
56,0056,assigned
57,0057,assigned
58,0058,assigned
59,0059,assigned
5A,005A,assigned
5B,005B,assigned
5C,005C,assigned
5D,005D,assigned
5E,005E,assigned
5F,005F,assigned
60,0060,assigned
61,0061,assigned
62,0062,assigned
63,0063,assigned
64,0064,assigned
65,0065,assigned
66,0066,assigned
67,0067,assigned
68,0068,assigned
69,0069,assigned
6A,006A,assigned
6B,006B,assigned
6C,006C,assigned
6D,006D,assigned
6E,006E,assigned
6F,006F,assigned
70,0070,assigned
71,0071,assigned
72,0072,assigned
73,0073,assigned
74,0074,assigned
75,0075,assigned
76,0076,assigned
77,0077,assigned
78,0078,assigned
79,0079,assigned
7A,007A,assigned
7B,007B,assigned
7C,007C,assigned
7D,007D,assigned
7E,007E,assigned
7F,007F,assigned
80,20AC,assigned
81,,undefined
82,010C,assigned
83,0192,assigned
84,010D,assigned
85,01B7,assigned
86,0292,assigned
87,01EE,assigned
88,01EF,assigned
89,0110,assigned
8A,0160,assigned
8B,2039,assigned
8C,0152,assigned
8D,,undefined
8E,,undefined
8F,,undefined
90,,undefined
91,2018,assigned
92,2019,assigned
93,201C,assigned
94,201D,assigned
95,2022,assigned
96,2013,assigned
97,2014,assigned
98,0111,assigned
99,01E6,assigned
9A,0161,assigned
9B,203A,assigned
9C,0153,assigned
9D,,undefined
9E,,undefined
9F,0178,assigned
A0,00A0,assigned
A1,01E7,assigned
A2,01E4,assigned
A3,00A3,assigned
A4,00A4,assigned
A5,01E5,assigned
A6,00A6,assigned
A7,00A7,assigned
A8,00A8,assigned
A9,00A9,assigned
AA,021E,assigned
AB,00AB,assigned
AC,00AC,assigned
AD,00AD,assigned
AE,00AE,assigned
AF,021F,assigned
B0,00B0,assigned
B1,00B1,assigned
B2,01E8,assigned
B3,01E9,assigned
B4,00B4,assigned
B5,00B5,assigned
B6,00B6,assigned
B7,00B7,assigned
B8,014A,assigned
B9,014B,assigned
BA,0166,assigned
BB,00BB,assigned
BC,0167,assigned
BD,00BD,assigned
BE,017D,assigned
BF,017E,assigned
C0,00C0,assigned
C1,00C1,assigned
C2,00C2,assigned
C3,00C3,assigned
C4,00C4,assigned
C5,00C5,assigned
C6,00C6,assigned
C7,00C7,assigned
C8,00C8,assigned
C9,00C9,assigned
CA,00CA,assigned
CB,00CB,assigned
CC,00CC,assigned
CD,00CD,assigned
CE,00CE,assigned
CF,00CF,assigned
D0,00D0,assigned
D1,00D1,assigned
D2,00D2,assigned
D3,00D3,assigned
D4,00D4,assigned
D5,00D5,assigned
D6,00D6,assigned
D7,00D7,assigned
D8,00D8,assigned
D9,00D9,assigned
DA,00DA,assigned
DB,00DB,assigned
DC,00DC,assigned
DD,00DD,assigned
DE,00DE,assigned
DF,00DF,assigned
E0,00E0,assigned
E1,00E1,assigned
E2,00E2,assigned
E3,00E3,assigned
E4,00E4,assigned
E5,00E5,assigned
E6,00E6,assigned
E7,00E7,assigned
E8,00E8,assigned
E9,00E9,assigned
EA,00EA,assigned
EB,00EB,assigned
EC,00EC,assigned
ED,00ED,assigned
EE,00EE,assigned
EF,00EF,assigned
F0,00F0,assigned
F1,00F1,assigned
F2,00F2,assigned
F3,00F3,assigned
F4,00F4,assigned
F5,00F5,assigned
F6,00F6,assigned
F7,00F7,assigned
F8,00F8,assigned
F9,00F9,assigned
FA,00FA,assigned
FB,00FB,assigned
FC,00FC,assigned
FD,00FD,assigned
FE,00FE,assigned
FF,00FF,assigned
