byte_hex,unicode_sequence,status
00,,undefined
01,,undefined
02,,undefined
03,,undefined
04,,undefined
05,,undefined
06,,undefined
07,,undefined
08,,undefined
09,,undefined
0A,,undefined
0B,,undefined
0C,,undefined
0D,,undefined
0E,,undefined
0F,,undefined
10,,undefined
11,,undefined
12,,undefined
13,,undefined
14,,undefined
15,,undefined
16,,undefined
17,,undefined
18,,undefined
19,,undefined
1A,,undefined
1B,,undefined
1C,,undefined
1D,,undefined
1E,,undefined
1F,,undefined
20,0020,assigned
21,0021,assigned
22,0022,assigned
23,0023,assigned
24,0024,assigned
25,0025,assigned
26,0026,assigned
27,0027,assigned
28,0028,assigned
29,0029,assigned
2A,002A,assigned
2B,002B,assigned
2C,002C,assigned
2D,002D,assigned
2E,002E,assigned
2F,002F,assigned
30,0030,assigned
31,0031,assigned
32,0032,assigned
33,0033,assigned
34,0034,assigned
35,0035,assigned
36,0036,assigned
37,0037,assigned
38,0038,assigned
39,0039,assigned
3A,003A,assigned
3B,003B,assigned
3C,003C,assigned
3D,003D,assigned
3E,003E,assigned
3F,003F,assigned
40,0040,assigned
41,0041,assigned
42,0042,assigned
43,0043,assigned
44,0044,assigned
45,0045,assigned
46,0046,assigned
47,0047,assigned
48,0048,assigned
49,0049,assigned
4A,004A,assigned
4B,004B,assigned
4C,004C,assigned
4D,004D,assigned
4E,004E,assigned
4F,004F,assigned
50,0050,assigned
51,0051,assigned
52,0052,assigned
53,0053,assigned
54,0054,assigned
55,0055,assigned
56,0056,assigned
57,0057,assigned
58,0058,assigned
59,0059,assigned
5A,005A,assigned
5B,005B,assigned
5C,005C,assigned
5D,005D,assigned
5E,2191,assigned
5F,005F,assigned
60,0060,assigned
61,0061,assigned
62,0062,assigned
63,0063,assigned
64,0064,assigned
65,0065,assigned
66,0066,assigned
67,0067,assigned
68,0068,assigned
69,0069,assigned
6A,006A,assigned
6B,006B,assigned
6C,006C,assigned
6D,006D,assigned
6E,006E,assigned
6F,006F,assigned
70,0070,assigned
71,0071,assigned
72,0072,assigned
73,0073,assigned
74,0074,assigned
75,0075,assigned
76,0076,assigned
77,0077,assigned
78,0078,assigned
79,0079,assigned
7A,007A,assigned
7B,007B,assigned
7C,007C,assigned
7D,007D,assigned
7E,007E,assigned
7F,00A2,assigned
80,00B0,assigned
81,2666,assigned
82,25BA,assigned
83,25C4,assigned
84,2192,assigned
85,2319,assigned
86,00A6,assigned
87,25A0,assigned
88,203C,assigned
89,2195,assigned
8A,2193,assigned
8B,2191,assigned
8C,2190,assigned
8D,00B1,assigned
8E,00A1,assigned
8F,00BF,assigned
90,00C2,assigned
91,00C0,assigned
92,00C1,assigned
93,00C4,assigned
94,00C3,assigned
95,2190,assigned
96,00C5,assigned
97,2193,assigned
98,00C6,assigned
99,00C7,assigned
9A,2021,assigned
9B,2022,assigned
9C,00CA,assigned
9D,00C8,assigned
9E,00C9,assigned
9F,00CB,assigned
A0,00E2,assigned
A1,00E0,assigned
A2,00E1,assigned
A3,00E4,assigned
A4,00E3,assigned
A5,2192,assigned
A6,00E5,assigned
A7,2020,assigned
A8,00E6,assigned
A9,00E7,assigned
AA,25A1,assigned
AB,,undefined
AC,00EA,assigned
AD,00E8,assigned
AE,00E9,assigned
AF,00EB,assigned
B0,01E6,assigned
B1,0132,assigned
B2,0130,assigned
B3,00CE,assigned
B4,00CC,assigned
B5,00CD,assigned
B6,00CF,assigned
B7,013F+004C,assigned
B8,00D1,assigned
B9,00D4,assigned
BA,00D2,assigned
BB,00D3,assigned
BC,00D6,assigned
BD,00D5,assigned
BE,0152,assigned
BF,00D8,assigned
C0,01E7,assigned
C1,0133,assigned
C2,0131,assigned
C3,00EE,assigned
C4,00EC,assigned
C5,00ED,assigned
C6,00EF,assigned
C7,0140+006C,assigned
C8,00F1,assigned
C9,00F4,assigned
CA,00F2,assigned
CB,00F3,assigned
CC,00F6,assigned
CD,00F5,assigned
CE,0153,assigned
CF,00F8,assigned
D0,00DE,assigned
D1,00D0,assigned
D2,00DD,assigned
D3,015E,assigned
D4,2018,assigned
D5,00DB,assigned
D6,00D9,assigned
D7,00DA,assigned
D8,00DC,assigned
D9,00A9,assigned
DA,00AE,assigned
DB,211E,assigned
DC,00AA,assigned
DD,00AB,assigned
DE,00A7,assigned
DF,00B6,assigned
E0,00FE,assigned
E1,00F0,assigned
E2,00FD,assigned
E3,015F,assigned
E4,2019,assigned
E5,00FB,assigned
E6,00F9,assigned
E7,00FA,assigned
E8,00FC,assigned
E9,2122,assigned
EA,00A4,assigned
EB,2194,assigned
EC,00BA,assigned
ED,00BB,assigned
EE,00DF,assigned
EF,02D9,assigned
F0,00A3,assigned
F1,0192,assigned
F2,00A5,assigned
F3,00BC,assigned
F4,00BD,assigned
F5,00BE,assigned
F6,02C6,assigned
F7,0060,assigned
F8,00B4,assigned
F9,00A8,assigned
FA,02DC,assigned
FB,00B8,assigned
FC,02C7,assigned
FD,02D8,assigned
FE,,undefined
FF,,undefined
