byte_hex,unicode_sequence,status
00,0000,assigned
01,0001,assigned
02,0002,assigned
03,0003,assigned
04,0004,assigned
05,0005,assigned
06,0006,assigned
07,0007,assigned
08,0008,assigned
09,0009,assigned
0A,000A,assigned
0B,000B,assigned
0C,000C,assigned
0D,000D,assigned
0E,000E,assigned
0F,000F,assigned
10,0010,assigned
11,0011,assigned
12,0012,assigned
13,0013,assigned
14,0014,assigned
15,0015,assigned
16,0016,assigned
17,0017,assigned
18,0018,assigned
19,0019,assigned
1A,001A,assigned
1B,001B,assigned
1C,001C,assigned
1D,001D,assigned
1E,001E,assigned
1F,001F,assigned
20,0020,assigned
21,0021,assigned
22,0022,assigned
23,0023,assigned
24,0024,assigned
25,0025,assigned
26,0026,assigned
27,0027,assigned
28,0028,assigned
29,0029,assigned
2A,002A,assigned
2B,002B,assigned
2C,002C,assigned
2D,002D,assigned
2E,002E,assigned
2F,002F,assigned
30,0030,assigned
31,0031,assigned
32,0032,assigned
33,0033,assigned
34,0034,assigned
35,0035,assigned
36,0036,assigned
37,0037,assigned
38,0038,assigned
39,0039,assigned
3A,003A,assigned
3B,003B,assigned
3C,003C,assigned
3D,003D,assigned
3E,003E,assigned
3F,003F,assigned
40,00A8,assigned
41,1FFD,assigned
42,1FEF,assigned
43,1FC0,assigned
44,1FBE,assigned
45,1FBF,assigned
46,1FFE,assigned
47,1FDE,assigned
48,1FDD,assigned
49,1FCE,assigned
4A,1FCD,assigned
4B,1FDF,assigned
4C,1FCF,assigned
4D,1FEE,assigned
4E,1F70,assigned
4F,1FB6,assigned
50,1F00,assigned
51,1F01,assigned
52,1F05,assigned
53,1F03,assigned
54,1F04,assigned
55,1F02,assigned
56,1F07,assigned
57,1F06,assigned
58,1FB4,assigned
59,1FB2,assigned
5A,1FB7,assigned
5B,1F80,assigned
5C,1F81,assigned
5D,1F85,assigned
5E,1F83,assigned
5F,1F84,assigned
60,1F82,assigned
61,1F87,assigned
62,1F86,assigned
63,1F72,assigned
64,1F10,assigned
65,1F11,assigned
66,1F15,assigned
67,1F13,assigned
68,1F14,assigned
69,1F12,assigned
6A,1F31,assigned
6B,1F30,assigned
6C,1F35,assigned
6D,1F33,assigned
6E,1F34,assigned
6F,1F32,assigned
70,1F37,assigned
71,1F36,assigned
72,1F76,assigned
73,1FD6,assigned
74,1FD2,assigned
75,1FB3,assigned
76,1FF3,assigned
77,1FC3,assigned
78,1F74,assigned
79,1FC6,assigned
7A,1F20,assigned
7B,1F25,assigned
7C,1F23,assigned
7D,1F24,assigned
7E,1F22,assigned
7F,1FA4,assigned
80,0374,assigned
81,03DC,assigned
82,1F27,assigned
83,1F26,assigned
84,1FC4,assigned
85,1FC2,assigned
86,1FC7,assigned
87,1F90,assigned
88,1F95,assigned
89,1F93,assigned
8A,1F94,assigned
8B,1F92,assigned
8C,1F97,assigned
8D,03F2,assigned
8E,03E0,assigned
8F,03DA,assigned
90,0375,assigned
91,1F96,assigned
92,1F78,assigned
93,1F40,assigned
94,1F45,assigned
95,1F43,assigned
96,1F44,assigned
97,1F42,assigned
98,1F7A,assigned
99,1FE6,assigned
9A,1F50,assigned
9B,1F51,assigned
9C,1F55,assigned
9D,03DE,assigned
9E,1FED,assigned
9F,1F53,assigned
A0,00A0,assigned
A1,1F54,assigned
A2,1F52,assigned
A3,1F57,assigned
A4,1F56,assigned
A5,1FE2,assigned
A6,1F7C,assigned
A7,1FF6,assigned
A8,1F60,assigned
A9,1F61,assigned
AA,1F65,assigned
AB,1F63,assigned
AC,1F64,assigned
AD,1F62,assigned
AE,1F67,assigned
AF,1F66,assigned
B0,1FF2,assigned
B1,1FF4,assigned
B2,1FF7,assigned
B3,1FA0,assigned
B4,1FA1,assigned
B5,1FA5,assigned
B6,00B6,assigned
B7,00B7,assigned
B8,1FA2,assigned
B9,1FA7,assigned
BA,1FA6,assigned
BB,1FE4,assigned
BC,1FE5,assigned
BD,1F21,assigned
BE,1F91,assigned
BF,1F41,assigned
C0,1FD3,assigned
C1,0391,assigned
C2,0392,assigned
C3,0393,assigned
C4,0394,assigned
C5,0395,assigned
C6,0396,assigned
C7,0397,assigned
C8,0398,assigned
C9,0399,assigned
CA,039A,assigned
CB,039B,assigned
CC,039C,assigned
CD,039D,assigned
CE,039E,assigned
CF,039F,assigned
D0,03A0,assigned
D1,03A1,assigned
D2,1FBD,assigned
D3,03A3,assigned
D4,03A4,assigned
D5,03A5,assigned
D6,03A6,assigned
D7,03A7,assigned
D8,03A8,assigned
D9,03A9,assigned
DA,03AA,assigned
DB,03AB,assigned
DC,1F71,assigned
DD,1F73,assigned
DE,1F75,assigned
DF,1F77,assigned
E0,1FE3,assigned
E1,03B1,assigned
E2,03B2,assigned
E3,03B3,assigned
E4,03B4,assigned
E5,03B5,assigned
E6,03B6,assigned
E7,03B7,assigned
E8,03B8,assigned
E9,03B9,assigned
EA,03BA,assigned
EB,03BB,assigned
EC,03BC,assigned
ED,03BD,assigned
EE,03BE,assigned
EF,03BF,assigned
F0,03C0,assigned
F1,03C1,assigned
F2,03C2,assigned
F3,03C3,assigned
F4,03C4,assigned
F5,03C5,assigned
F6,03C6,assigned
F7,03C7,assigned
F8,03C8,assigned
F9,03C9,assigned
FA,03CA,assigned
FB,03CB,assigned
FC,1F79,assigned
FD,1F7B,assigned
FE,1F7D,assigned
FF,1FA3,assigned
