byte_hex,unicode_hex
00,0393
01,2206
02,0398
03,039B
04,039E
05,03A0
06,03A3
07,03A5
08,03A6
09,03A8
0A,2126
0B,03B1
0C,03B2
0D,03B3
0E,03B4
0F,03F5
10,03B6
11,03B7
12,03B8
13,03B9
14,03BA
15,03BB
16,00B5
17,03BD
18,03BE
19,03C0
1A,03C1
1B,03C3
1C,03C4
1D,03C5
1E,03D5
1F,03C7
20,03C8
21,03C9
22,03B5
23,03D1
24,03D6
25,03F1
26,03C2
27,03C6
28,21BC
29,21BD
2A,21C0
2B,21C1
2C,21AA
2D,21A9
2E,25B7
2F,25C1
30,0030
31,0031
32,0032
33,0033
34,0034
35,0035
36,0036
37,0037
38,0038
39,0039
3A,002E
3B,002C
3C,003C
3D,002F
3E,003E
3F,22C6
40,2202
41,0041
42,0042
43,0043
44,0044
45,0045
46,0046
47,0047
48,0048
49,0049
4A,004A
4B,004B
4C,004C
4D,004D
4E,004E
4F,004F
50,0050
51,0051
52,0052
53,0053
54,0054
55,0055
56,0056
57,0057
58,0058
59,0059
5A,005A
5B,266D
5C,266E
5D,266F
5E,2323
5F,2322
60,2113
61,0061
62,0062
63,0063
64,0064
65,0065
66,0066
67,0067
68,0068
69,0069
6A,006A
6B,006B
6C,006C
6D,006D
6E,006E
6F,006F
70,0070
71,0071
72,0072
73,0073
74,0074
75,0075
76,0076
77,0077
78,0078
79,0079
7A,007A
7B,0131
7C,0237
7D,2118
7E,20D7
7F,2040
