byte_hex,unicode_hex
00,2212
01,00B7
02,00D7
03,2217
04,00F7
05,22C4
06,00B1
07,2213
08,2295
09,2296
0A,2297
0B,2298
0C,2299
0D,20DD
0E,25E6
0F,2022
10,224D
11,2261
12,2286
13,2287
14,2264
15,2265
16,2AAF
17,2AB0
18,223C
19,2248
1A,2282
1B,2283
1C,226A
1D,226B
1E,227A
1F,227B
20,2190
21,2192
22,2191
23,2193
24,2194
25,2197
26,2198
27,2243
28,21D0
29,21D2
2A,21D1
2B,21D3
2C,21D4
2D,2196
2E,2199
2F,221D
30,2032
31,221E
32,2208
33,220B
34,25B3
35,25BD
36,0338
37,21A6
38,2200
39,2203
3A,00AC
3B,2205
3C,211C
3D,2111
3E,22A4
3F,22A5
40,2135
41,0041
42,0042
43,0043
44,0044
45,0045
46,0046
47,0047
48,0048
49,0049
4A,004A
4B,004B
4C,004C
4D,004D
4E,004E
4F,004F
50,0050
51,0051
52,0052
53,0053
54,0054
55,0055
56,0056
57,0057
58,0058
59,0059
5A,005A
5B,222A
5C,2229
5D,228E
5E,2227
5F,2228
60,22A2
61,22A3
62,230A
63,230B
64,2308
65,2309
66,007B
67,007D
68,27E8
69,27E9
6A,007C
6B,2225
6C,2195
6D,21D5
6E,005C
6F,2240
70,221A
71,2A3F
72,2207
73,222B
74,2294
75,2293
76,2291
77,2292
78,00A7
79,2020
7A,2021
7B,00B6
7C,2663
7D,2662
7E,2661
7F,2660
