# Independently derived from TI AMS 2.0 Appendix B, printed p555.
# BYTE;SOURCE_GLYPH;VISIBLE;LOSSLESS_VPUA;RAW_VPUA
00;0000;2400;F8900;F8A00
01;0001;2401;0001;F8A01
02;0002;2402;0002;F8A02
03;0003;2403;0003;F8A03
04;0004;2404;0004;F8A04
05;0005;2405;0005;F8A05
06;0006;2406;0006;F8A06
07;0007;2407;0007;F8A07
08;0008;2408;0008;F8A08
09;0009;2409;0009;F8A09
0A;000A;240A;000A;F8A0A
0B;2BB5;2BB5;2BB5;F8A0B
0C;000C;240C;000C;F8A0C
0D;000D;240D;000D;F8A0D
0E;1F512;1F512;1F512;F8A0E
0F;2713;2713;2713;F8A0F
10;25AA;25AA;25AA;F8A10
11;25C2;25C2;25C2;F8A11
12;25B8;25B8;25B8;F8A12
13;25B4;25B4;25B4;F8A13
14;25BE;25BE;25BE;F8A14
15;2190;2190;2190;F8A15
16;2192;2192;2192;F8A16
17;2191;2191;2191;F8A17
18;2193;2193;2193;F8A18
19;25C0;25C0;25C0;F8A19
1A;25B6;25B6;25B6;F8A1A
1B;2B06;2B06;2B06;F8A1B
1C;222A;222A;222A;F8A1C
1D;2229;2229;2229;F8A1D
1E;2282;2282;2282;F8A1E
1F;2208;2208;2208;F8A1F
20;0020;0020;0020;F8A20
21;0021;0021;0021;F8A21
22;0022;0022;0022;F8A22
23;0023;0023;0023;F8A23
24;0024;0024;0024;F8A24
25;0025;0025;0025;F8A25
26;0026;0026;0026;F8A26
27;0027;0027;0027;F8A27
28;0028;0028;0028;F8A28
29;0029;0029;0029;F8A29
2A;002A;002A;002A;F8A2A
2B;002B;002B;002B;F8A2B
2C;002C;002C;002C;F8A2C
2D;002D;002D;002D;F8A2D
2E;002E;002E;002E;F8A2E
2F;002F;002F;002F;F8A2F
30;0030;0030;0030;F8A30
31;0031;0031;0031;F8A31
32;0032;0032;0032;F8A32
33;0033;0033;0033;F8A33
34;0034;0034;0034;F8A34
35;0035;0035;0035;F8A35
36;0036;0036;0036;F8A36
37;0037;0037;0037;F8A37
38;0038;0038;0038;F8A38
39;0039;0039;0039;F8A39
3A;003A;003A;003A;F8A3A
3B;003B;003B;003B;F8A3B
3C;003C;003C;003C;F8A3C
3D;003D;003D;003D;F8A3D
3E;003E;003E;003E;F8A3E
3F;003F;003F;003F;F8A3F
40;0040;0040;0040;F8A40
41;0041;0041;0041;F8A41
42;0042;0042;0042;F8A42
43;0043;0043;0043;F8A43
44;0044;0044;0044;F8A44
45;0045;0045;0045;F8A45
46;0046;0046;0046;F8A46
47;0047;0047;0047;F8A47
48;0048;0048;0048;F8A48
49;0049;0049;0049;F8A49
4A;004A;004A;004A;F8A4A
