decimal_token,source_unicode_scalar,readable_reverse_role,lossless_output_scalar,lossless_reason
0001,U+4E00,canonical-minimum,U+4E00,source-scalar
0002,U+4E01,canonical-minimum,U+4E01,source-scalar
0003,U+4E03,canonical-minimum,U+4E03,source-scalar
0004,U+4E08,canonical-minimum,U+4E08,source-scalar
0005,U+4E09,canonical-minimum,U+4E09,source-scalar
0006,U+4E0A,canonical-minimum,U+4E0A,source-scalar
0007,U+4E0B,canonical-minimum,U+4E0B,source-scalar
0008,U+4E0D,canonical-minimum,U+4E0D,source-scalar
0009,U+4E10,canonical-minimum,U+4E10,source-scalar
0010,U+4E11,canonical-minimum,U+4E11,source-scalar
0011,U+4E14,canonical-minimum,U+4E14,source-scalar
0012,U+4E15,canonical-minimum,U+4E15,source-scalar
0013,U+4E16,canonical-minimum,U+4E16,source-scalar
0014,U+4E19,canonical-minimum,U+4E19,source-scalar
0015,U+4E1E,canonical-minimum,U+4E1E,source-scalar
0016,U+4E22,canonical-minimum,U+4E22,source-scalar
0017,U+4E26,canonical-minimum,U+4E26,source-scalar
0019,U+4E28,canonical-minimum,U+4E28,source-scalar
0020,U+4E2A,canonical-minimum,U+4E2A,source-scalar
0021,U+4E2B,canonical-minimum,U+4E2B,source-scalar
0022,U+4E2D,canonical-minimum,U+4E2D,source-scalar
0023,U+4E30,canonical-minimum,U+4E30,source-scalar
0024,U+4E31,canonical-minimum,U+4E31,source-scalar
0025,U+4E32,canonical-minimum,U+4E32,source-scalar
0027,U+4E36,canonical-minimum,U+4E36,source-scalar
0029,U+4E38,canonical-minimum,U+4E38,source-scalar
0030,U+4E39,canonical-minimum,U+4E39,source-scalar
0031,U+4E3B,canonical-minimum,U+4E3B,source-scalar
0033,U+4E3F,canonical-minimum,U+4E3F,source-scalar
0034,U+4E42,canonical-minimum,U+4E42,source-scalar
0035,U+4E43,canonical-minimum,U+4E43,source-scalar
0036,U+4E45,canonical-minimum,U+4E45,source-scalar
0037,U+4E4B,canonical-minimum,U+4E4B,source-scalar
0038,U+4E4D,canonical-minimum,U+4E4D,source-scalar
0039,U+4E4E,canonical-minimum,U+4E4E,source-scalar
0040,U+4E4F,canonical-minimum,U+4E4F,source-scalar
0041,U+4E56,canonical-minimum,U+4E56,source-scalar
0042,U+4E58,canonical-minimum,U+4E58,source-scalar
0044,U+4E59,canonical-minimum,U+4E59,source-scalar
0045,U+4E5C,canonical-minimum,U+4E5C,source-scalar
0046,U+4E5D,canonical-minimum,U+4E5D,source-scalar
0047,U+4E5E,canonical-minimum,U+4E5E,source-scalar
0048,U+4E5F,canonical-minimum,U+4E5F,source-scalar
0049,U+4E69,canonical-minimum,U+4E69,source-scalar
0050,U+4E73,canonical-minimum,U+4E73,source-scalar
0051,U+4E7E,canonical-minimum,U+4E7E,source-scalar
0052,U+4E82,canonical-minimum,U+4E82,source-scalar
0053,U+6C39,canonical-minimum,U+6C39,source-scalar
0054,U+4E85,canonical-minimum,U+4E85,source-scalar
0055,U+4E86,canonical-minimum,U+4E86,source-scalar
0056,U+4E88,canonical-minimum,U+4E88,source-scalar
0057,U+4E8B,canonical-minimum,U+4E8B,source-scalar
0059,U+4E8C,canonical-minimum,U+4E8C,source-scalar
0060,U+4E8E,canonical-minimum,U+4E8E,source-scalar
0061,U+4E91,canonical-minimum,U+4E91,source-scalar
0062,U+4E92,canonical-minimum,U+4E92,source-scalar
0063,U+4E94,canonical-minimum,U+4E94,source-scalar
0064,U+4E95,canonical-minimum,U+4E95,source-scalar
0065,U+4E99,canonical-minimum,U+4E99,source-scalar
0066,U+2F81B,canonical-minimum,U+F8B00,canonical-normalization-collision
0067,U+4E9B,canonical-minimum,U+4E9B,source-scalar
0068,U+4E9E,canonical-minimum,U+4E9E,source-scalar
0069,U+4E9F,canonical-minimum,U+4E9F,source-scalar
0071,U+4EA0,canonical-minimum,U+4EA0,source-scalar
0072,U+4EA1,canonical-minimum,U+4EA1,source-scalar
0073,U+4EA2,canonical-minimum,U+4EA2,source-scalar
0074,U+4EA4,canonical-minimum,U+4EA4,source-scalar
0075,U+4EA5,canonical-minimum,U+4EA5,source-scalar
0076,U+4EA6,canonical-minimum,U+4EA6,source-scalar
0077,U+4EA8,canonical-minimum,U+4EA8,source-scalar
0078,U+4EAB,canonical-minimum,U+4EAB,source-scalar
0079,U+4EAC,canonical-minimum,U+4EAC,source-scalar
0080,U+4EAD,canonical-minimum,U+4EAD,source-scalar
0081,U+4EAE,canonical-minimum,U+4EAE,source-scalar
0082,U+4EB3,canonical-minimum,U+4EB3,source-scalar
0083,U+4EB6,canonical-minimum,U+4EB6,source-scalar
0084,U+4EB9,canonical-minimum,U+4EB9,source-scalar
0086,U+4EBA,canonical-minimum,U+4EBA,source-scalar
0087,U+4EC0,canonical-minimum,U+4EC0,source-scalar
0088,U+4EC1,canonical-minimum,U+4EC1,source-scalar
0089,U+4EC3,canonical-minimum,U+4EC3,source-scalar
0090,U+4EC4,canonical-minimum,U+4EC4,source-scalar
0091,U+4EC6,canonical-minimum,U+4EC6,source-scalar
0092,U+4EC7,canonical-minimum,U+4EC7,source-scalar
0093,U+4ECA,canonical-minimum,U+4ECA,source-scalar
0094,U+4ECB,canonical-minimum,U+4ECB,source-scalar
0095,U+4ECD,canonical-minimum,U+4ECD,source-scalar
0096,U+4EC2,canonical-minimum,U+4EC2,source-scalar
0097,U+4EC9,canonical-minimum,U+4EC9,source-scalar
0098,U+4ED4,canonical-minimum,U+4ED4,source-scalar
0099,U+4ED5,canonical-minimum,U+4ED5,source-scalar
0100,U+4ED6,canonical-minimum,U+4ED6,source-scalar
0101,U+4ED7,canonical-minimum,U+4ED7,source-scalar
0102,U+4ED8,canonical-minimum,U+4ED8,source-scalar
0103,U+4ED9,canonical-minimum,U+4ED9,source-scalar
0104,U+4EDD,canonical-minimum,U+4EDD,source-scalar
0105,U+4EDE,canonical-minimum,U+4EDE,source-scalar
0106,U+4EE1,canonical-minimum,U+4EE1,source-scalar
0107,U+4EDF,canonical-minimum,U+4EDF,source-scalar
0108,U+4EE3,canonical-minimum,U+4EE3,source-scalar
0109,U+4EE4,canonical-minimum,U+4EE4,source-scalar
0110,U+4EE5,canonical-minimum,U+4EE5,source-scalar
0111,U+4EF0,canonical-minimum,U+4EF0,source-scalar
0112,U+4EF2,canonical-minimum,U+4EF2,source-scalar
0113,U+4EF3,canonical-minimum,U+4EF3,source-scalar
0114,U+4EF5,canonical-minimum,U+4EF5,source-scalar
