octal,unicode,source_name
00,U+0040,commercial_at
01,U+005B,left_square_bracket
02,U+005D,right_square_bracket
03,U+0023,number_sign
04,U+0394,delta
05,U+0020,space
06,U+0041,latin_capital_a
07,U+0042,latin_capital_b
10,U+0043,latin_capital_c
11,U+0044,latin_capital_d
12,U+0045,latin_capital_e
13,U+0046,latin_capital_f
14,U+0047,latin_capital_g
15,U+0048,latin_capital_h
16,U+0049,latin_capital_i
17,U+004A,latin_capital_j
20,U+004B,latin_capital_k
21,U+004C,latin_capital_l
22,U+004D,latin_capital_m
23,U+004E,latin_capital_n
24,U+004F,latin_capital_o
25,U+0050,latin_capital_p
26,U+0051,latin_capital_q
27,U+0052,latin_capital_r
30,U+0053,latin_capital_s
31,U+0054,latin_capital_t
32,U+0055,latin_capital_u
33,U+0056,latin_capital_v
34,U+0057,latin_capital_w
35,U+0058,latin_capital_x
36,U+0059,latin_capital_y
37,U+005A,latin_capital_z
40,U+0029,right_parenthesis
41,U+002D,hyphen_minus
42,U+002B,plus_sign
43,U+003C,less_than_sign
44,U+003D,equals_sign
45,U+003E,greater_than_sign
46,U+0026,ampersand
47,U+0024,dollar_sign
50,U+002A,asterisk
51,U+0028,left_parenthesis
52,U+0025,percent_sign
53,U+003A,colon
54,U+003F,question_mark
55,U+0021,exclamation_mark
56,U+002C,comma
57,U+005C,reverse_solidus
60,U+0030,digit_zero
61,U+0031,digit_one
62,U+0032,digit_two
63,U+0033,digit_three
64,U+0034,digit_four
65,U+0035,digit_five
66,U+0036,digit_six
67,U+0037,digit_seven
70,U+0038,digit_eight
71,U+0039,digit_nine
72,U+0027,apostrophe
73,U+003B,semicolon
74,U+002F,solidus
75,U+002E,full_stop
76,U+2311,square_lozenge
77,U+2260,not_equal_to
