profile,token,unicode,origin
ascii,00,0000,ascii_identity
ascii,01,0001,ascii_identity
ascii,02,0002,ascii_identity
ascii,03,0003,ascii_identity
ascii,04,0004,ascii_identity
ascii,05,0005,ascii_identity
ascii,06,0006,ascii_identity
ascii,07,0007,ascii_identity
ascii,08,0008,ascii_identity
ascii,09,0009,ascii_identity
ascii,0A,000A,ascii_identity
ascii,0B,000B,ascii_identity
ascii,0C,000C,ascii_identity
ascii,0D,000D,ascii_identity
ascii,0E,000E,ascii_identity
ascii,0F,000F,ascii_identity
ascii,10,0010,ascii_identity
ascii,11,0011,ascii_identity
ascii,12,0012,ascii_identity
ascii,13,0013,ascii_identity
ascii,14,0014,ascii_identity
ascii,15,0015,ascii_identity
ascii,16,0016,ascii_identity
ascii,17,0017,ascii_identity
ascii,18,0018,ascii_identity
ascii,19,0019,ascii_identity
ascii,1A,001A,ascii_identity
ascii,1B,001B,ascii_identity
ascii,1C,001C,ascii_identity
ascii,1D,001D,ascii_identity
ascii,1E,001E,ascii_identity
ascii,1F,001F,ascii_identity
ascii,20,0020,ascii_identity
ascii,21,0021,ascii_identity
ascii,22,0022,ascii_identity
ascii,23,0023,ascii_identity
ascii,24,0024,ascii_identity
ascii,25,0025,ascii_identity
ascii,26,0026,ascii_identity
ascii,27,0027,ascii_identity
ascii,28,0028,ascii_identity
ascii,29,0029,ascii_identity
ascii,2A,002A,ascii_identity
ascii,2B,002B,ascii_identity
ascii,2C,002C,ascii_identity
ascii,2D,002D,ascii_identity
ascii,2E,002E,ascii_identity
ascii,2F,002F,ascii_identity
ascii,30,0030,ascii_identity
ascii,31,0031,ascii_identity
ascii,32,0032,ascii_identity
ascii,33,0033,ascii_identity
ascii,34,0034,ascii_identity
ascii,35,0035,ascii_identity
ascii,36,0036,ascii_identity
ascii,37,0037,ascii_identity
ascii,38,0038,ascii_identity
ascii,39,0039,ascii_identity
ascii,3A,003A,ascii_identity
ascii,3B,003B,ascii_identity
ascii,3C,003C,ascii_identity
ascii,3D,003D,ascii_identity
ascii,3E,003E,ascii_identity
ascii,3F,003F,ascii_identity
ascii,40,1EF4,source_vietnamese
ascii,41,0041,ascii_identity
ascii,42,0042,ascii_identity
ascii,43,0043,ascii_identity
ascii,44,0044,ascii_identity
ascii,45,0045,ascii_identity
ascii,46,0046,ascii_identity
ascii,47,0047,ascii_identity
ascii,48,0048,ascii_identity
ascii,49,0049,ascii_identity
ascii,4A,004A,ascii_identity
ascii,4B,004B,ascii_identity
ascii,4C,004C,ascii_identity
ascii,4D,004D,ascii_identity
ascii,4E,004E,ascii_identity
ascii,4F,004F,ascii_identity
ascii,50,0050,ascii_identity
ascii,51,0051,ascii_identity
ascii,52,0052,ascii_identity
ascii,53,0053,ascii_identity
ascii,54,0054,ascii_identity
ascii,55,0055,ascii_identity
ascii,56,0056,ascii_identity
ascii,57,0057,ascii_identity
ascii,58,0058,ascii_identity
ascii,59,0059,ascii_identity
ascii,5A,005A,ascii_identity
ascii,5B,005B,ascii_identity
ascii,5C,005C,ascii_identity
ascii,5D,005D,ascii_identity
ascii,5E,00C1,source_vietnamese
ascii,5F,005F,ascii_identity
ascii,60,00C0,source_vietnamese
ascii,61,0061,ascii_identity
ascii,62,0062,ascii_identity
ascii,63,0063,ascii_identity
ascii,64,0064,ascii_identity
ascii,65,0065,ascii_identity
ascii,66,0066,ascii_identity
ascii,67,0067,ascii_identity
ascii,68,0068,ascii_identity
ascii,69,0069,ascii_identity
ascii,6A,006A,ascii_identity
ascii,6B,006B,ascii_identity
ascii,6C,006C,ascii_identity
ascii,6D,006D,ascii_identity
ascii,6E,006E,ascii_identity
ascii,6F,006F,ascii_identity
ascii,70,0070,ascii_identity
ascii,71,0071,ascii_identity
ascii,72,0072,ascii_identity
ascii,73,0073,ascii_identity
ascii,74,0074,ascii_identity
ascii,75,0075,ascii_identity
ascii,76,0076,ascii_identity
ascii,77,0077,ascii_identity
ascii,78,0078,ascii_identity
ascii,79,0079,ascii_identity
ascii,7A,007A,ascii_identity
ascii,7B,1EB6,source_vietnamese
ascii,7C,1EA2,source_vietnamese
ascii,7D,00C3,source_vietnamese
ascii,7E,1EA0,source_vietnamese
ascii,7F,007F,ascii_identity
ascii,80,1EA4,source_vietnamese
ascii,81,1EBB,source_vietnamese
ascii,82,00E9,source_vietnamese
ascii,83,00E2,source_vietnamese
ascii,84,1EBD,source_vietnamese
ascii,85,00E0,source_vietnamese
ascii,86,1EB9,source_vietnamese
ascii,87,1EA6,source_vietnamese
ascii,88,00EA,source_vietnamese
ascii,89,1EBF,source_vietnamese
ascii,8A,00E8,source_vietnamese
ascii,8B,1EC1,source_vietnamese
ascii,8C,1EA8,source_vietnamese
ascii,8D,00EC,source_vietnamese
ascii,8E,1EC3,source_vietnamese
ascii,8F,1EC5,source_vietnamese
ascii,90,1EAA,source_vietnamese
ascii,91,1ECF,source_vietnamese
ascii,92,00F5,source_vietnamese
ascii,93,00F4,source_vietnamese
ascii,94,1ECD,source_vietnamese
ascii,95,00F2,source_vietnamese
ascii,96,1ED1,source_vietnamese
ascii,97,00F9,source_vietnamese
ascii,98,1ED3,source_vietnamese
ascii,99,1ED5,source_vietnamese
ascii,9A,1ED7,source_vietnamese
ascii,9B,1ED9,source_vietnamese
ascii,9C,1EE7,source_vietnamese
ascii,9D,0169,source_vietnamese
ascii,9E,1EE5,source_vietnamese
ascii,9F,01B0,source_vietnamese
ascii,A1,00ED,source_vietnamese
ascii,A2,00F3,source_vietnamese
ascii,A3,00FA,source_vietnamese
ascii,A4,1EE9,source_vietnamese
ascii,A5,1EEB,source_vietnamese
ascii,A6,1EED,source_vietnamese
ascii,A7,1EEF,source_vietnamese
ascii,A8,1EF1,source_vietnamese
ascii,A9,1EC9,source_vietnamese
ascii,AA,0129,source_vietnamese
ascii,AB,1ECB,source_vietnamese
ascii,AC,1EC7,source_vietnamese
ascii,AD,0111,source_vietnamese
ascii,AE,0110,source_vietnamese
ascii,AF,1EAC,source_vietnamese
ascii,B0,1EAE,source_vietnamese
ascii,B1,1EB0,source_vietnamese
ascii,B2,1EB2,source_vietnamese
ascii,B3,1EB4,source_vietnamese
ascii,B4,00C9,source_vietnamese
ascii,B5,00C8,source_vietnamese
ascii,B6,1EBA,source_vietnamese
ascii,B7,1EBC,source_vietnamese
ascii,B8,1EB8,source_vietnamese
ascii,B9,1EBE,source_vietnamese
ascii,BA,1EC0,source_vietnamese
ascii,BB,1EC2,source_vietnamese
ascii,BC,1EC4,source_vietnamese
ascii,BD,1EC6,source_vietnamese
ascii,BE,00CD,source_vietnamese
ascii,BF,00CC,source_vietnamese
ascii,C0,1EC8,source_vietnamese
ascii,C1,0128,source_vietnamese
ascii,C2,1ECA,source_vietnamese
ascii,C3,00D3,source_vietnamese
ascii,C4,00D2,source_vietnamese
ascii,C5,1ECE,source_vietnamese
ascii,C6,00D5,source_vietnamese
ascii,C7,1ECC,source_vietnamese
ascii,C8,1ED0,source_vietnamese
ascii,C9,1ED2,source_vietnamese
ascii,CA,1ED4,source_vietnamese
ascii,CB,1ED6,source_vietnamese
ascii,CC,1ED8,source_vietnamese
ascii,CD,1EDA,source_vietnamese
ascii,CE,1EDC,source_vietnamese
ascii,CF,1EDE,source_vietnamese
ascii,D0,1EE0,source_vietnamese
ascii,D1,1EE2,source_vietnamese
ascii,D2,00DA,source_vietnamese
ascii,D3,00D9,source_vietnamese
ascii,D4,1EE6,source_vietnamese
ascii,D5,0168,source_vietnamese
ascii,D6,1EE4,source_vietnamese
ascii,D7,1EE8,source_vietnamese
ascii,D8,1EEA,source_vietnamese
ascii,D9,1EEC,source_vietnamese
ascii,DA,1EEE,source_vietnamese
ascii,DB,1EF0,source_vietnamese
ascii,DC,00DD,source_vietnamese
ascii,DD,1EF2,source_vietnamese
ascii,DE,1EF6,source_vietnamese
ascii,DF,1EF8,source_vietnamese
ascii,E0,1EA3,source_vietnamese
ascii,E1,00E3,source_vietnamese
ascii,E2,1EA1,source_vietnamese
ascii,E3,1EA5,source_vietnamese
ascii,E4,1EA7,source_vietnamese
ascii,E5,1EA9,source_vietnamese
ascii,E6,1EAB,source_vietnamese
ascii,E7,1EAD,source_vietnamese
ascii,E8,0103,source_vietnamese
ascii,E9,1EAF,source_vietnamese
ascii,EA,1EB1,source_vietnamese
ascii,EB,1EB3,source_vietnamese
ascii,EC,1EB5,source_vietnamese
ascii,ED,1EB7,source_vietnamese
ascii,EE,00FD,source_vietnamese
ascii,EF,1EF3,source_vietnamese
ascii,F0,1EF7,source_vietnamese
ascii,F1,1EF9,source_vietnamese
ascii,F2,1EF5,source_vietnamese
ascii,F3,01A1,source_vietnamese
ascii,F4,1EDB,source_vietnamese
ascii,F5,1EDD,source_vietnamese
ascii,F6,1EDF,source_vietnamese
ascii,F7,1EE1,source_vietnamese
ascii,F8,1EE3,source_vietnamese
ascii,F9,00D4,source_vietnamese
ascii,FA,01A0,source_vietnamese
ascii,FB,01AF,source_vietnamese
ascii,FC,0102,source_vietnamese
ascii,FD,00C2,source_vietnamese
ascii,FE,00CA,source_vietnamese
ascii,FF,00E1,source_vietnamese
ansi,00,0000,ascii_identity
ansi,01,0001,ascii_identity
ansi,02,0002,ascii_identity
ansi,03,0003,ascii_identity
ansi,04,0004,ascii_identity
ansi,05,0005,ascii_identity
ansi,06,0006,ascii_identity
ansi,07,0007,ascii_identity
ansi,08,0008,ascii_identity
ansi,09,0009,ascii_identity
ansi,0A,000A,ascii_identity
ansi,0B,000B,ascii_identity
ansi,0C,000C,ascii_identity
ansi,0D,000D,ascii_identity
ansi,0E,000E,ascii_identity
ansi,0F,000F,ascii_identity
ansi,10,0010,ascii_identity
ansi,11,0011,ascii_identity
ansi,12,0012,ascii_identity
ansi,13,0013,ascii_identity
ansi,14,0014,ascii_identity
ansi,15,0015,ascii_identity
ansi,16,0016,ascii_identity
ansi,17,0017,ascii_identity
ansi,18,0018,ascii_identity
ansi,19,0019,ascii_identity
ansi,1A,001A,ascii_identity
ansi,1B,001B,ascii_identity
ansi,1C,001C,ascii_identity
ansi,1D,001D,ascii_identity
ansi,1E,001E,ascii_identity
ansi,1F,001F,ascii_identity
ansi,20,0020,ascii_identity
ansi,21,0021,ascii_identity
ansi,22,0022,ascii_identity
ansi,23,0023,ascii_identity
ansi,24,0024,ascii_identity
ansi,25,0025,ascii_identity
ansi,26,0026,ascii_identity
ansi,27,0027,ascii_identity
ansi,28,0028,ascii_identity
ansi,29,0029,ascii_identity
ansi,2A,002A,ascii_identity
ansi,2B,002B,ascii_identity
ansi,2C,002C,ascii_identity
ansi,2D,002D,ascii_identity
ansi,2E,002E,ascii_identity
ansi,2F,002F,ascii_identity
ansi,30,0030,ascii_identity
ansi,31,0031,ascii_identity
ansi,32,0032,ascii_identity
ansi,33,0033,ascii_identity
ansi,34,0034,ascii_identity
ansi,35,0035,ascii_identity
ansi,36,0036,ascii_identity
ansi,37,0037,ascii_identity
ansi,38,0038,ascii_identity
ansi,39,0039,ascii_identity
ansi,3A,003A,ascii_identity
ansi,3B,003B,ascii_identity
ansi,3C,003C,ascii_identity
ansi,3D,003D,ascii_identity
ansi,3E,003E,ascii_identity
ansi,3F,003F,ascii_identity
ansi,40,0040,ascii_identity
ansi,41,0041,ascii_identity
ansi,41C0,1EA6,source_vietnamese
ansi,41C1,1EA4,source_vietnamese
ansi,41C2,00C2,source_vietnamese
ansi,41C3,1EAA,source_vietnamese
ansi,41C4,1EAC,source_vietnamese
ansi,41C5,1EA8,source_vietnamese
ansi,41C8,1EB0,source_vietnamese
ansi,41C9,1EAE,source_vietnamese
ansi,41CA,0102,source_vietnamese
ansi,41CB,1EB6,source_vietnamese
ansi,41CF,1EA0,source_vietnamese
ansi,41D5,00C3,source_vietnamese
ansi,41D8,00C0,source_vietnamese
ansi,41D9,00C1,source_vietnamese
ansi,41DA,1EB2,source_vietnamese
ansi,41DB,1EA2,source_vietnamese
ansi,41DC,1EB4,source_vietnamese
ansi,42,0042,ascii_identity
ansi,43,0043,ascii_identity
ansi,44,0044,ascii_identity
ansi,45,0045,ascii_identity
ansi,45C0,1EC0,source_vietnamese
ansi,45C1,1EBE,source_vietnamese
ansi,45C2,00CA,source_vietnamese
ansi,45C3,1EC4,source_vietnamese
ansi,45C4,1EC6,source_vietnamese
ansi,45C5,1EC2,source_vietnamese
ansi,45CF,1EB8,source_vietnamese
ansi,45D5,1EBC,source_vietnamese
ansi,45D8,00C8,source_vietnamese
ansi,45D9,00C9,source_vietnamese
ansi,45DB,1EBA,source_vietnamese
ansi,46,0046,ascii_identity
ansi,47,0047,ascii_identity
ansi,48,0048,ascii_identity
ansi,49,0049,ascii_identity
ansi,4A,004A,ascii_identity
ansi,4B,004B,ascii_identity
ansi,4C,004C,ascii_identity
ansi,4D,004D,ascii_identity
ansi,4E,004E,ascii_identity
ansi,4F,004F,ascii_identity
ansi,4FC0,1ED2,source_vietnamese
ansi,4FC1,1ED0,source_vietnamese
ansi,4FC2,00D4,source_vietnamese
ansi,4FC3,1ED6,source_vietnamese
ansi,4FC4,1ED8,source_vietnamese
ansi,4FC5,1ED4,source_vietnamese
ansi,4FCF,1ECC,source_vietnamese
ansi,4FD5,00D5,source_vietnamese
ansi,4FD8,00D2,source_vietnamese
ansi,4FD9,00D3,source_vietnamese
ansi,4FDB,1ECE,source_vietnamese
ansi,50,0050,ascii_identity
ansi,51,0051,ascii_identity
ansi,52,0052,ascii_identity
ansi,53,0053,ascii_identity
ansi,54,0054,ascii_identity
ansi,55,0055,ascii_identity
ansi,55CF,1EE4,source_vietnamese
ansi,55D5,0168,source_vietnamese
ansi,55D8,00D9,source_vietnamese
ansi,55D9,00DA,source_vietnamese
ansi,55DB,1EE6,source_vietnamese
ansi,56,0056,ascii_identity
ansi,57,0057,ascii_identity
ansi,58,0058,ascii_identity
ansi,59,0059,ascii_identity
ansi,59CF,1EF4,source_vietnamese
ansi,59D5,1EF8,source_vietnamese
ansi,59D8,1EF2,source_vietnamese
ansi,59D9,00DD,source_vietnamese
ansi,59DB,1EF6,source_vietnamese
ansi,5A,005A,ascii_identity
ansi,5B,005B,ascii_identity
ansi,5C,005C,ascii_identity
ansi,5D,005D,ascii_identity
ansi,5E,005E,ascii_identity
ansi,5F,005F,ascii_identity
ansi,60,0060,ascii_identity
ansi,61,0061,ascii_identity
