canonical,aliases,module,stateful
AIS6,AIS-6-BIT|AIS-6BIT|AIS-6BIT-ASCII|ITU-R-M.1371|ITU-R-M.1371-6,Iconvex.Telecom.AIS6,false
CCIR476,CCIR-476|CCIR_476|ITU-R-M.476-5|NAVTEX|SITOR|SITOR-B,Iconvex.Telecom.CCIR476,true
GSM0338,GSM-03.38|GSM-03.38-2009|GSM-7|GSM7|SMPP-GSM7,Iconvex.Telecom.Codecs.GSM0338,true
GSM0338-BENGALI,GSM-03.38-BENGALI,Iconvex.Telecom.Codecs.GSM0338Bengali,true
GSM0338-GUJARATI,GSM-03.38-GUJARATI,Iconvex.Telecom.Codecs.GSM0338Gujarati,true
GSM0338-HINDI,GSM-03.38-HINDI,Iconvex.Telecom.Codecs.GSM0338Hindi,true
GSM0338-KANNADA,GSM-03.38-KANNADA,Iconvex.Telecom.Codecs.GSM0338Kannada,true
GSM0338-LOCKING-BENGALI,GSM-03.38-LOCKING-BENGALI,Iconvex.Telecom.Codecs.GSM0338LockingBengali,true
GSM0338-LOCKING-GUJARATI,GSM-03.38-LOCKING-GUJARATI,Iconvex.Telecom.Codecs.GSM0338LockingGujarati,true
GSM0338-LOCKING-HINDI,GSM-03.38-LOCKING-HINDI,Iconvex.Telecom.Codecs.GSM0338LockingHindi,true
GSM0338-LOCKING-KANNADA,GSM-03.38-LOCKING-KANNADA,Iconvex.Telecom.Codecs.GSM0338LockingKannada,true
GSM0338-LOCKING-MALAYALAM,GSM-03.38-LOCKING-MALAYALAM,Iconvex.Telecom.Codecs.GSM0338LockingMalayalam,true
GSM0338-LOCKING-ORIYA,GSM-03.38-LOCKING-ORIYA,Iconvex.Telecom.Codecs.GSM0338LockingOriya,true
GSM0338-LOCKING-PORTUGUESE,GSM-03.38-LOCKING-PORTUGUESE,Iconvex.Telecom.Codecs.GSM0338LockingPortuguese,true
GSM0338-LOCKING-PUNJABI,GSM-03.38-LOCKING-PUNJABI,Iconvex.Telecom.Codecs.GSM0338LockingPunjabi,true
GSM0338-LOCKING-TAMIL,GSM-03.38-LOCKING-TAMIL,Iconvex.Telecom.Codecs.GSM0338LockingTamil,true
GSM0338-LOCKING-TELUGU,GSM-03.38-LOCKING-TELUGU,Iconvex.Telecom.Codecs.GSM0338LockingTelugu,true
GSM0338-LOCKING-TURKISH,GSM-03.38-LOCKING-TURKISH,Iconvex.Telecom.Codecs.GSM0338LockingTurkish,true
GSM0338-LOCKING-URDU,GSM-03.38-LOCKING-URDU,Iconvex.Telecom.Codecs.GSM0338LockingUrdu,true
GSM0338-MALAYALAM,GSM-03.38-MALAYALAM,Iconvex.Telecom.Codecs.GSM0338Malayalam,true
GSM0338-ORIYA,GSM-03.38-ORIYA,Iconvex.Telecom.Codecs.GSM0338Oriya,true
GSM0338-PORTUGUESE,GSM-03.38-PORTUGUESE,Iconvex.Telecom.Codecs.GSM0338Portuguese,true
GSM0338-PUNJABI,GSM-03.38-PUNJABI,Iconvex.Telecom.Codecs.GSM0338Punjabi,true
GSM0338-SINGLE-BENGALI,GSM-03.38-SINGLE-BENGALI,Iconvex.Telecom.Codecs.GSM0338SingleBengali,true
GSM0338-SINGLE-GUJARATI,GSM-03.38-SINGLE-GUJARATI,Iconvex.Telecom.Codecs.GSM0338SingleGujarati,true
GSM0338-SINGLE-HINDI,GSM-03.38-SINGLE-HINDI,Iconvex.Telecom.Codecs.GSM0338SingleHindi,true
GSM0338-SINGLE-KANNADA,GSM-03.38-SINGLE-KANNADA,Iconvex.Telecom.Codecs.GSM0338SingleKannada,true
GSM0338-SINGLE-MALAYALAM,GSM-03.38-SINGLE-MALAYALAM,Iconvex.Telecom.Codecs.GSM0338SingleMalayalam,true
GSM0338-SINGLE-ORIYA,GSM-03.38-SINGLE-ORIYA,Iconvex.Telecom.Codecs.GSM0338SingleOriya,true
GSM0338-SINGLE-PORTUGUESE,GSM-03.38-SINGLE-PORTUGUESE,Iconvex.Telecom.Codecs.GSM0338SinglePortuguese,true
GSM0338-SINGLE-PUNJABI,GSM-03.38-SINGLE-PUNJABI,Iconvex.Telecom.Codecs.GSM0338SinglePunjabi,true
GSM0338-SINGLE-SPANISH,GSM-03.38-SINGLE-SPANISH,Iconvex.Telecom.Codecs.GSM0338SingleSpanish,true
GSM0338-SINGLE-TAMIL,GSM-03.38-SINGLE-TAMIL,Iconvex.Telecom.Codecs.GSM0338SingleTamil,true
GSM0338-SINGLE-TELUGU,GSM-03.38-SINGLE-TELUGU,Iconvex.Telecom.Codecs.GSM0338SingleTelugu,true
GSM0338-SINGLE-TURKISH,GSM-03.38-SINGLE-TURKISH,Iconvex.Telecom.Codecs.GSM0338SingleTurkish,true
GSM0338-SINGLE-URDU,GSM-03.38-SINGLE-URDU,Iconvex.Telecom.Codecs.GSM0338SingleUrdu,true
GSM0338-SPANISH,GSM-03.38-SPANISH,Iconvex.Telecom.Codecs.GSM0338Spanish,true
GSM0338-TAMIL,GSM-03.38-TAMIL,Iconvex.Telecom.Codecs.GSM0338Tamil,true
GSM0338-TELUGU,GSM-03.38-TELUGU,Iconvex.Telecom.Codecs.GSM0338Telugu,true
GSM0338-TURKISH,GSM-03.38-TURKISH,Iconvex.Telecom.Codecs.GSM0338Turkish,true
GSM0338-URDU,GSM-03.38-URDU,Iconvex.Telecom.Codecs.GSM0338Urdu,true
IBM-2780-SIX-BIT-TRANSCODE-GA27-3005-3,IBM-2780-SIX-BIT-TRANSCODE-1971|IBM-2780-TRANSCODE-1971|IBM-GA27-3005-3-TRANSCODE,Iconvex.Telecom.IBM2780SixBitTranscode,false
IBM-BSC-SIX-BIT-TRANSCODE-GA27-3004-2,IBM-BSC-SIX-BIT-TRANSCODE-1970|IBM-GA27-3004-2-TRANSCODE,Iconvex.Telecom.IBMBscSixBitTranscode,false
ITA1,BAUDOT-CODE-ITA1|BAUDOT-ORIGINAL|CCITT-1|CCITT-NO-1|CCITT1|INTERNATIONAL-TELEGRAPH-ALPHABET-NO-1|ITA-1,Iconvex.Telecom.ITA1,true
ITA2,BAUDOT|BAUDOT-CODE|CCITT-2|CCITT-NO-2|CCITT2|INTERNATIONAL-TELEGRAPH-ALPHABET-NO-2|ITA-2,Iconvex.Telecom.ITA2,true
ITA2-S2,CASE-PRESERVING-ITA2|CCITT-S.2|ITA-2-S2|ITA2-S.2|ITU-T-S.2,Iconvex.Telecom.ITA2S2,true
ITA2-US-TTY,AMERICAN-TELETYPEWRITER-CODE|US-BAUDOT|US-TTY|USTTY,Iconvex.Telecom.ITA2USTTY,true
ITA3,CCITT-3|CCITT-NO-3|INTERNATIONAL-TELEGRAPH-ALPHABET-NO-3|ITA-3|ITU-T-S.13,Iconvex.Telecom.ITA3,true
ITA4,CCITT-4|CCITT-NO-4|INTERNATIONAL-TELEGRAPH-ALPHABET-NO-4|ITA-4|ITU-T-R.44,Iconvex.Telecom.ITA4,true
ITU-T-T.50-IRV,CCITT-5|CCITT-NO-5|CCITT5|IA5|INTERNATIONAL-ALPHABET-NO-5|INTERNATIONAL-TELEGRAPH-ALPHABET-NO-5|IRA|ISO-646-IRV:1991|ITA-5|ITA5|ITU-T-T.50|RECOMMENDATION-V.3-IA5|T.50-IRV|T50-IRV,Iconvex.Telecom.IA5,false
MORSE-ITU-M1677,INTERNATIONAL-MORSE|INTERNATIONAL-MORSE-CODE|ITU-R-M.1677|ITU-R-M.1677-1|MORSE-CODE,Iconvex.Telecom.Morse,false
MTK-2,CYRILLIC-ITA2|MKT-2|RUSSIAN-BAUDOT|RUSSIAN-ITA2,Iconvex.Telecom.MTK2,true
SIM-ALPHA-IDENTIFIER,SIM-ALPHA|SIM-UCS2-80-81-82|USIM-ALPHA|USIM-ALPHA-IDENTIFIER,Iconvex.Telecom.SIMAlphaIdentifierCodec,true
TBCD,3GPP-TBCD|GSM-TBCD|TELEPHONY-BCD,Iconvex.Telecom.TBCDCodec,false
