canonical,unit_bits,standard_order,module,packed_names
AIS6,6,msb,Iconvex.Telecom.AIS6,AIS6-PACKED-MSB|AIS6-PACKED-LSB
CCIR476,7,lsb,Iconvex.Telecom.CCIR476,CCIR476-PACKED-MSB|CCIR476-PACKED-LSB
GSM0338,7,lsb,Iconvex.Telecom.Codecs.GSM0338,GSM0338-PACKED-MSB|GSM0338-PACKED-LSB
GSM0338-BENGALI,7,lsb,Iconvex.Telecom.Codecs.GSM0338Bengali,GSM0338-BENGALI-PACKED-MSB|GSM0338-BENGALI-PACKED-LSB
GSM0338-GUJARATI,7,lsb,Iconvex.Telecom.Codecs.GSM0338Gujarati,GSM0338-GUJARATI-PACKED-MSB|GSM0338-GUJARATI-PACKED-LSB
GSM0338-HINDI,7,lsb,Iconvex.Telecom.Codecs.GSM0338Hindi,GSM0338-HINDI-PACKED-MSB|GSM0338-HINDI-PACKED-LSB
GSM0338-KANNADA,7,lsb,Iconvex.Telecom.Codecs.GSM0338Kannada,GSM0338-KANNADA-PACKED-MSB|GSM0338-KANNADA-PACKED-LSB
GSM0338-LOCKING-BENGALI,7,lsb,Iconvex.Telecom.Codecs.GSM0338LockingBengali,GSM0338-LOCKING-BENGALI-PACKED-MSB|GSM0338-LOCKING-BENGALI-PACKED-LSB
GSM0338-LOCKING-GUJARATI,7,lsb,Iconvex.Telecom.Codecs.GSM0338LockingGujarati,GSM0338-LOCKING-GUJARATI-PACKED-MSB|GSM0338-LOCKING-GUJARATI-PACKED-LSB
GSM0338-LOCKING-HINDI,7,lsb,Iconvex.Telecom.Codecs.GSM0338LockingHindi,GSM0338-LOCKING-HINDI-PACKED-MSB|GSM0338-LOCKING-HINDI-PACKED-LSB
GSM0338-LOCKING-KANNADA,7,lsb,Iconvex.Telecom.Codecs.GSM0338LockingKannada,GSM0338-LOCKING-KANNADA-PACKED-MSB|GSM0338-LOCKING-KANNADA-PACKED-LSB
GSM0338-LOCKING-MALAYALAM,7,lsb,Iconvex.Telecom.Codecs.GSM0338LockingMalayalam,GSM0338-LOCKING-MALAYALAM-PACKED-MSB|GSM0338-LOCKING-MALAYALAM-PACKED-LSB
GSM0338-LOCKING-ORIYA,7,lsb,Iconvex.Telecom.Codecs.GSM0338LockingOriya,GSM0338-LOCKING-ORIYA-PACKED-MSB|GSM0338-LOCKING-ORIYA-PACKED-LSB
GSM0338-LOCKING-PORTUGUESE,7,lsb,Iconvex.Telecom.Codecs.GSM0338LockingPortuguese,GSM0338-LOCKING-PORTUGUESE-PACKED-MSB|GSM0338-LOCKING-PORTUGUESE-PACKED-LSB
GSM0338-LOCKING-PUNJABI,7,lsb,Iconvex.Telecom.Codecs.GSM0338LockingPunjabi,GSM0338-LOCKING-PUNJABI-PACKED-MSB|GSM0338-LOCKING-PUNJABI-PACKED-LSB
