unit_hex,unicode_hex
00,0001
01,0041
02,0042
03,0043
04,0044
05,0045
06,0046
07,0047
08,0048
09,0049
0A,0002
0B,002E
0C,2311
0D,0007
0E,001A
0F,0017
10,0026
11,004A
12,004B
13,004C
14,004D
15,004E
16,004F
17,0050
18,0051
19,0052
1A,0020
1B,0024
1C,002A
1D,001F
1E,0004
1F,0010
20,002D
21,002F
22,0053
23,0054
24,0055
25,0056
26,0057
27,0058
28,0059
29,005A
2A,001B
2B,0027
2C,0025
2D,0005
2E,0003
2F,0009
30,0030
31,0031
32,0032
33,0033
34,0034
35,0035
36,0036
37,0037
38,0038
39,0039
3A,0016
3B,0023
3C,0040
3D,0015
3E,0019
3F,007F
